,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url,count_day
28,Копейск,Копейский машзавод,не указаны,22 сентября 2020," Обязанности: - Участие в проекте внедрения системы Microsoft Dynamics Axapta 2012 в качестве консультанта-аналитика; - Участие в тестировании выполненных доработок; - Поддержка и консультирование пользователей; - Подготовка проектной и пользовательской документации; - Проведение обучений. Требования: - Образование высшее; - Высокий уровень владения ПК и офисным ПО Microsoft; - Умение самостоятельно анализировать требования, предлагать оптимальные решения; - Готовность погружаться в предметную область; - Грамотный русский язык. Умение формулировать и излагать свои мысли (устно и письменно); - Желание разбираться в сложных информационных системах; - Умение планировать свою работу. - Ответственность, обучаемость, умение работать в коллективе, умение работать с пользователями, исполнительность. Приветствуется наличие дополнительных навыков: - Опыт работы в качестве системного аналитика; - Опыт работы с системами учёта AX, 1C, SAP, Галактика; - Опыт консультирования пользователей; - Опыт работы на второй линии поддержки; - Опыт работы в софтверных и/или консалтинговых компаниях любого профиля, которые кроме разработки систем оказывают услуги по их внедрению; - Опыт разработки технических заданий на автоматизацию, инструкций и регламентов; - Опыт обучения пользователей работе в системе; - Умение составлять SQL-запросы и работать с БД; - Рассмотрим варианты трудоустройства выпускников 2020 года. Условия: Официальное трудоустройство, согласно ТК РФ. Пятидневный режим работы с 8-00 до 17-00. ",не указано,1–3 года,Системный аналитик,"Официальное трудоустройство, согласно ТК РФ.,Пятидневный режим работы с 8-00 до 17-00.",,,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39374359,37
68,Челябинск,Сеть Салонов Ювелирных Украшений САМОЦВЕТЫ,"Работа в крупной стабильной Компании;,Гафик 5/2;,Полная занятость,Уважаемые соискатели, рассмотрение кандидатов происходит после предоставления резюме;",16 сентября 2020," Договорная Сеть салонов ювелирных украшений ""САМОЦВЕТЫ"" Челябинск, Калининский район, Проспект Победы, 160В Сеть салонов ювелирных украшений САМОЦВЕТЫ приглашает на работу оператора видеонаблюдения/аналитика Немного о компании САМОЦВЕТЫ: Вот уже 16 лет Мы работаем с самым красивым и интересным продуктом. Наши 40 ювелирных магазинов представлены практически во всех крупных торговых комплексах Челябинска, Магнитогорска и Кургана. Открыты магазины в комплексах Копейска, Чебаркуля, Миасса, Златоуста, Троицка и Озерска. Нашими постоянными клиентами являются более 300.000 человек. На сегодняшний день в команде компании САМОЦВЕТЫ работает более 250 человек, которые каждый год делают счастливыми более 175 тысяч клиентов! Обязанности оператора видеонаблюдения. Оператор видеонаблюдения должен знать. <ol> Оргсхему компании Самоцветы Цель компании Самоцветы. Стандарты обслуживания в салонах сети ювелирных украшений Самоцветы. Правила дисциплины, принятые в компании. Правила безопасности, принятые в компании. Программу Битрикс 24 на уровне пользователя. </ol> Оператор видеонаблюдения должен осуществлять следующие действия. <ol> Осуществляет непрерывное видеонаблюдение с целью контроля качества обслуживания в салонах сети ювелирных украшений Самоцветы. Выявляет отклонения от стандартов работы, сохраняет видеофрагменты. Сразу предоставляет начальнику отдела качества. Выявляет нарушения правил безопасности и дисциплины, сохраняет видеофрагменты. Сразу предоставляет начальнику отдела качества. Предоставляет ежедневные отчеты о выявленных отклонениях начальнику отдела качества. Принимает участие в разработке чек-листов для оценки персонала. Осуществляет оценку персонала по ключевым показателям. Ежедневно предоставляет отчетность по выполнению поставленных задач. </ol> Условия: Работа в крупной стабильной Компании; Гафик 5/2; Полная занятость Уважаемые соискатели, рассмотрение кандидатов происходит после предоставления резюме; ",не указано,1–3 года,Оператор видеонаблюдения/аналитик,,185000.0,67000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/38112233,43
105,Челябинск,СПАР Урал,"Место работы ул. Труда 166,График работы пятидневная рабочая неделя с 09.00 до 18.00,Заработная плата обсуждается индивидуально с кандидатом(оклад + 20% премия).,Официальное трудоустройство с полным социальным пакетом.",13 октября 2020," Обязанности: Взаимодействие с заинтересованными лицами в процессе разработки, тестирования и внедрения информационных систем. Взаимодействие с пользователями по доработкам и ошибкам системы. Разработка ТЗ по модификации системы. Тестирование выполненных модификаций системы. Подготовка пользовательской документации. Обучение пользователей. Требования: 1. Профильное образование (ИТ). 2. Опыт работы программистом, системным аналитиком, аналитиком, бизнес аналитиком, постановщиком задач не менее 3-х лет. 3. Опыт составления SQL-запросов и работы с БД. 4. Умение работать с большими объёмами данных. 5. Аналитический склад ума, коммуникабельность, аккуратность, внимательность, ответственность, грамотность. Условия: Место работы ул. Труда 166 График работы пятидневная рабочая неделя с 09.00 до 18.00 Заработная плата обсуждается индивидуально с кандидатом(оклад + 20% премия). Официальное трудоустройство с полным социальным пакетом. По вакансии следует обращаться в Отдел подбора персонала: г. Челябинск, ул. Труда, д. 166, 1 этаж, каб. ""Отдел подбора персонала"" в будние дни с 09.00 до 17.00. Уважаемые кандидаты! При отправке резюме в теме письма обязательно укажите вакансию. После получения резюме мы связываемся с Вами самостоятельно в случае положительного рассмотрения. Если у Вас возникли вопросы по вакансиям, то Вы можете позвонить по указанным в объявлении телефонам. ",не указано,3–6 лет,Системный аналитик,,185000.0,67000.0,полный день,"SQL,MS SQL,MS Visio,UML,VBA",Полная занятость,https://tyumen.hh.ru/vacancy/38298092,16
120,Магнитогорск,"ХОСТ, Группа компаний",не указаны,21 сентября 2020," ХОСТ - это компания с 26-ти летней историей, обладает репутацией надежного партнера в бизнесе и хорошего работодателя на рынке труда. Мы гордимся тем, что реализуем социально значимые проекты. Одним из ключевых направлений бизнеса Компании является разработка информационно-аналитических систем «МедВедь». Это комплекс информационных систем, которые автоматизируют процессы в области Здравоохранения и обеспечивают возможность пользоваться населению электронными услугами. Например, мы создаем системы, которые: Помогают формировать, выгружать и отправлять отчеты больницам и поликлиникам на уровень Минздрава; Помогают пациентам записываться на прием к врачам; Помогают вести учет лекарственных средств; Интегрируют между собой региональные медицинские системы; И другие проекты. Мы быстро развиваемся, количество проектов растет. Нашей команде нужно усиления, поэтому мы в поисках системного аналитика ! Задачи, которые нужно решать: Анализ бизнес-процессов и регламентирующих документов заказчика; Написание ТЗ, постановки задач для программистов; Проектирование баз данных, веб-интерфейсов; Участие в тестировании ИТ-решений; Внедрение ИТ-решений у заказчика; Проведение презентаций у заказчика, согласование состава работ с заказчиком. Необходимые компетенции: Знание принципов построения баз данных; Базовые знания языка SQL; Понимание принципов построения веб-приложений; Знание XML-технологий и опыт работы с ними: XML, XSD, XSLT, WSDL, SOAP; Опытный пользователь ПК (MS Office, MS Visio, MS Excel). Мы предлагаем: Возможность работать удаленно; Нетривиальные проекты и задачи, которые поддерживают мозг в тонусе:) Поддержку со стороны руководства внешнего и внутреннего обучения; Заботу компании о своих сотрудниках (ДМС, софинансирование спорта и изучения иностранных языков, дополнительно 7 дней социального отпуска); Достойный доход, который обсуждаем индивидуально; Насыщенную корпоративную жизнь: отмечаем Новый год, играем в интеллектуальные игры, ходим в походы. За 2018-2019 годы покорили Конжак, Юрму, Зюраткуль, Иремель. ",не указано,1–3 года,Системный аналитик,,,60000.0,удаленная работа,,Полная занятость,https://tyumen.hh.ru/vacancy/38197403,38
127,Челябинск,КРОК,не указаны,24 сентября 2020," Ваши задачи: Анализ и описание бизнес-процессов; Написание частных технических заданий на доработку информационных систем; Постановка задачи разработчикам, контроль исполнения; Тестирование функционала информационных систем; Обучение пользователей. Наши ожидания: Высшее или неоконченное высшее образование (техническая специальность) Понимание теории баз данных и языка SQL (как минимум операторы SELECT, UNION, JOIN, GROUP BY, ORDER BY); Умение читать бизнес-процессы, описанные в различных нотациях; Умение самостоятельно находить и использовать нормативно-справочную информацию; Наличие навыков написания частных технических заданий для постановки задач разработчикам (аналитические отчеты, веб-интерфейс, структура базы данных); Умение работать на результат; Умение работать в команде; Ответственность; Аналитическое мышление; Желание развиваться. Приветствуется: Понимание бизнес-процессов в медицине, ЖКХ; Инициативность; Мы предлагаем: Достойную зарплату. На собеседовании мы детальнее познакомимся с тобой, твоими навыками, и открыто обсудим вопрос зарплаты с премиальной частью. Максимальный комфорт. Тебя ждет удобное рабочее место с мощным железом, современный офис в центре города, чай/кофе и даже обеды. Возможность профессионального роста и развития. Корпоративные мероприятия, компенсация спорта, молодой коллектив, дружелюбная рабочая атмосфера. Отличную команду, в которой ценят вклад каждого. ",не указано,1–3 года,Системный аналитик,,185000.0,67000.0,полный день,"SQL,MS SQL,Бизнес-анализ,MS Visio",Полная занятость,https://tyumen.hh.ru/vacancy/39427118,35
178,Москва,DriverPack Solution,не указаны,14 октября 2020," Привет! Я Артур, основатель DriverPack. Мне очень нужен продуктовый аналитик. У нас есть огненная продуктовая команда, которая хочет добавить системности в то что мы генерим. Мы хорошо умеем придумывать и быстро реализовывать новые идеи, хоть и не всегда удается удержать фокус. Короче, для аналитика у нас непаханое поле, в котором он может найти кучу точек роста компании. DriverPack — это уже 10-летний, оч крупный продукт с аудиторией в десятки миллионов юзеров по всему миру. Продукт нужно поддерживать и спокойно и уверенно развивать. Кроме того, у нас есть другие продукты, а также множество идей для новых направлений, которые мы тестируем. Тут задачи на быструю проверку более радикальных идей и поиск кратного роста. У нас бирюзовая орг. структура, в которой каждый сам себе руководитель. От тебя мы ждем инициативности, а взамен дадим шанс проявить себя. Такую возможность влиять на судьбу компании как у нас, на рынке сложно встретить. Чем ты можешь нам помочь? Не давать команде делать бессмысленную работу — круто, если ты сможешь обоснованно говорить, какие гипотезы стоит брать в работу, а какие нет и почему; Помогать принимать решения по уже реализованным гипотезам — по результатам АБ теста, нам нужны конкретные советы о том что и как можно улучшить; Генерировать новые гипотезы — надо находить в данных из систем аналитики идеи для роста нашего продукта; Помочь с системностью — круто, если ты поможешь нам отслеживать прогресс, учиться на уже сделанных вещах и корректировать наши планы после столкновения с реальностью; Следить чтобы продукт не развалился - мы хотим наладить автоматическую систему алертов по основным метрикам и сможешь быстро реагировать, если что то идет не так; Нам также нужен анализ рынка, инвест-анализ для партнерских задач. Ну тут вроде все как у всех. Какие скиллы от тебя нужны? Текущая техническая сторона аналитики у нас очень простая: Я.Метрика, сквозная GA, ReDash, Chartio, Zapier, R, MongoDB, Zabbix, AdSense. Важно чтобы ты мог поддерживать инфраструктуру, чтобы можно было делать основную работу быстро и точно. У нас много юзеров и суперская скорость команды. Так что пока шибко сложными инструментами не пользуемся - мы не можем ждать неделю, пока ты будешь писать сложные SQL запросы и гонять MapReduce. Нам важно, чтобы ты мог самостоятельно разобраться в любой ситуации. Задать себе правильные вопросы, собрать информацию и сделать выводы, которые приведут к лучшему решению. Принципы В работе у нас есть три принципа, на которые мы ориентируемся и которые отражают наши подходы и ценности: Честность — потому что в долгосрочной перспективе она всегда выигрывает. Мы не говорим «невозможно» — вместо этого мы говорим: «давайте придумаем, как это можно реализовать». У нас даже шутки в офисе есть по этому поводу. Работаем на результат — для нас в работе важен не процесс и даже не технологии, а конечный результат! Ведь ради этого и затевается все веселье! Мы часто напоминаем их друг другу и придерживаемся их. На собеседовании подробнее расскажем, как мы применяем наши ценности в работе. Как мы работаем Офис в центре Москвы, недалеко от м. Цветной бульвар, Чеховская, Тверская. Есть парковка, душ, кухня Зарплата выше рынка Комната отдыха с PS4! Отмечаем Хэллоуин и играем в настолки ;) Покупаем сотрудникам всю нужную технику и программное обеспечение Что делать дальше Заходи на наш HR-сайт и оставь заявку: job.drp.su Мы свяжемся с тобой и пообщаемся лично Выполняй интересное тестовое задание, которое мы дадим Выходи к нам на работу и вливайся в команду ;) ",не указано,более 6 лет,"Продуктовый аналитик, Москва",,,,полный день,"A/B тесты,Яндекс.Метрика,Google Analytics,Google AdWords,Веб-аналитика,MongoDB,R,Python,BI,Google Sheets",Полная занятость,https://tyumen.hh.ru/vacancy/39804495,15
235,Челябинск,ANCOR Industry,"работа в стабильной международной компании;,корпоративное профессиональное обучение;,конкурентоспособное вознаграждение;,добровольное медицинское страхование;,пакет релокации.",23 сентября 2020," Международная компания-производитель . Вакансия подразумевает релокацию в УрФО. Позиция: ведущий специалист отдела аналитики продаж и маркетинга. Обязанности: участие в определении стратегии, приоритетов, операционных процессов, формирования и управление командой; планирование и прогнозирование продаж на основе аналитических данных; поиск точек роста доходов компании с помощью анализа данных; автоматизация процессов планирования и отчетности; настройка системы бизнес-анализа; отслеживание разработанных решений, статуса их реализации и результатов; подготовка отчетов, аналитических материалов и презентаций. Требования: высшее образование; понимание бизнес-процессов в продажах, маркетинге; опыт работы на аналогичной поэзии от 3х лет; уровень владения английским языком: не ниже Intermediate (регулярное общение с группой и коллегами из других стран). Условия: работа в стабильной международной компании; корпоративное профессиональное обучение; конкурентоспособное вознаграждение; добровольное медицинское страхование; пакет релокации. ","участие в определении стратегии, приоритетов, операционных процессов, формирования и управление командой;,планирование и прогнозирование продаж на основе аналитических данных;,поиск точек роста доходов компании с помощью анализа данных;,автоматизация процессов планирования и отчетности;,настройка системы бизнес-анализа;,отслеживание разработанных решений, статуса их реализации и результатов;,подготовка отчетов, аналитических материалов и презентаций.",3–6 лет,Ведущий специалист отдела аналитики продаж и маркетинга (в г. Уфа),"высшее образование;,понимание бизнес-процессов в продажах, маркетинге;,опыт работы на аналогичной поэзии от 3х лет;,уровень владения английским языком: не ниже Intermediate (регулярное общение с группой и коллегами из других стран).",185000.0,67000.0,полный день,"Английский язык,MS PowerPoint,Бизнес-анализ,Маркетинговый анализ,Аналитические исследования",Полная занятость,https://tyumen.hh.ru/vacancy/39392641,36
237,Челябинск,Тагес Джамп,не указаны,18 сентября 2020," Обязанности: Анализ, декомпозиция и документирование требований; взаимодействие с заказчиками и экспертами предметных областей; разработка технического задания (ТЗ), спецификаций и постановка задач (в основном интеграционные потоки); построение необходимых моделей, алгоритмов, прототипов; Взаимодействие с разработчиками и QA инженерами; Требования: высшее техническое образование ; опыт работы по специальности (желательно с мобильной разработкой или CMS); владение английским языком; коммуникабельность и хорошо поставленная речь знание нотации IDEFx, UML, BPMN (желательно) понимание протоколов REST/SOAP/GraphQL (желательно) Знание современных подходов интеграции и построения информационных систем; Понимание основ http запросов (разница между post,get,patch,put); Умение проектировать и описывать API; Знание форматов обмена данных (JSON,XML); Навыки работы с БД, знание базовых SQL, noSQL запросов; Условия: Интересные, увлекательные, амбициозные задачи и проекты, Оплату по результатам собеседования, Свободный стиль одежды Работа в офисе Оплачиваемые обеды Оформление по ТК РФ. ",не указано,3–6 лет,"Системный аналитик (Middle, Senior)",,185000.0,67000.0,полный день,"Техническая документация,СУБД,Английский язык,Разработка технических заданий,Информационные технологии,Проектная документация,Тестирование,Грамотная речь,UML,Постановка задач разработчикам,Бизнес-анализ,Системный анализ,Системный подход,SQL,MS SQL,IDEF0,Specifications,AllFusion ERwin Data Modeler,Аналитический склад ума,Аналитическое мышление,REST,API,SOAP,XML,Анализ данных,Cистемы управления базами данных",Полная занятость,https://tyumen.hh.ru/vacancy/38705622,41
411,Челябинск,"ЮТэйр, Авиакомпания","место работы: рассматривается вариант удаленной работы;,график работы: пятидневная рабочая неделя 09.00-18.00;,оформление в штат с первого дня с испытательным сроком в 3 месяца;,бессрочный трудовой договор;,оплачиваемые больничные и отпуска;,участие в корпоративных мероприятиях Компании;,комфортный офис, все рабочие места оснащены современным оборудованием;,редкие краткосрочные командировки по России;,заработная плата выплачивается своевременно, два раза в месяц. Рассматриваются зарплатные ожидания кандидатов;,льготы для сотрудников и членов семьи на авиаперелеты к месту отпуска.",17 сентября 2020," Авиакомпания «ЮТэйр» приглашает соискателей принять участие в конкурсном отборе на вакансию Системный аналитик SAP CO. Для рассмотрения Вашей кандидатуры, необходимо направить отклик на вакансию. Просьба указывать в сопроводительном письме желаемый уровень заработной платы. Обязанности: анализ внутренних бизнес-процессов, сбор предъявляемых к информационной системе требований (все заказчики внутренние – различные подразделения группы компаний); участие в планировании проектов автоматизации, включая анализ трудозатрат, оценку сроков, контроль реализации; согласование деталей реализации с заказчиком, архитектором и разработчиками; формирование технических заданий на разработку и доработку систем. Детализация заданий включая описание алгоритмов, принципов хранения и обмена данными, расположения элементов интерфейса; тестирование выполненных работ разработчиками и приёмка задач; документирование новой функциональности самостоятельно и совместно с техническим писателем; обучение пользователей по работе с новой функциональностью. Требования: высшее финансовое или техническое образование; рассматриваются кандидаты с опытом работы на аналогичной должности от 1 года; опыт внедрения проектов в роли консультанта по одной или нескольким областям SAP - SAP - FI, FI-АА, BPC, TR, FM, CO, HR приветствуется; опыт настройки системы в одной или нескольких областях SAP - FI, FI-АА, BPC, TR, FM, CO, HR; опыт интеграции FI/CO со смежными областями SAP – MM, SD; знание S4HANA; уверенные знания бухгалтерского и налогового учета; знания основ МСФО, управленческого учета, бюджетирования – приветствуются; готовность к командировкам. Условия: место работы: рассматривается вариант удаленной работы; график работы: пятидневная рабочая неделя 09.00-18.00; оформление в штат с первого дня с испытательным сроком в 3 месяца; бессрочный трудовой договор; оплачиваемые больничные и отпуска; участие в корпоративных мероприятиях Компании; комфортный офис, все рабочие места оснащены современным оборудованием; редкие краткосрочные командировки по России; заработная плата выплачивается своевременно, два раза в месяц. Рассматриваются зарплатные ожидания кандидатов; льготы для сотрудников и членов семьи на авиаперелеты к месту отпуска. ","анализ внутренних бизнес-процессов, сбор предъявляемых к информационной системе требований (все заказчики внутренние – различные подразделения группы компаний);,участие в планировании проектов автоматизации, включая анализ трудозатрат, оценку сроков, контроль реализации;,согласование деталей реализации с заказчиком, архитектором и разработчиками;,формирование технических заданий на разработку и доработку систем. Детализация заданий включая описание алгоритмов, принципов хранения и обмена данными, расположения элементов интерфейса;,тестирование выполненных работ разработчиками и приёмка задач;,документирование новой функциональности самостоятельно и совместно с техническим писателем;,обучение пользователей по работе с новой функциональностью.",1–3 года,Системный аналитик SAP CO,"высшее финансовое или техническое образование;,рассматриваются кандидаты с опытом работы на аналогичной должности от 1 года;,опыт внедрения проектов в роли консультанта по одной или нескольким областям SAP - SAP - FI, FI-АА, BPC, TR, FM, CO, HR приветствуется;,опыт настройки системы в одной или нескольких областях SAP - FI, FI-АА, BPC, TR, FM, CO, HR;,опыт интеграции FI/CO со смежными областями SAP – MM, SD;,знание S4HANA;,уверенные знания бухгалтерского и налогового учета;,знания основ МСФО, управленческого учета, бюджетирования – приветствуются;,готовность к командировкам.",185000.0,67000.0,удаленная работа,"SAP,SAP FI,sap co,Системный анализ,Разработка технических заданий,Системная интеграция,Моделирование бизнес процессов,Постановка задач разработчикам,Автоматизация,Системное мышление,Бизнес-анализ,Оптимизация бизнес-процессов,Системный подход,Бюджетирование,Аналитика,Управление проектами,Бизнес-планирование,Финансовый анализ",Полная занятость,https://tyumen.hh.ru/vacancy/39286786,42
414,Челябинск,"ХОСТ, Группа компаний",не указаны,21 сентября 2020," ХОСТ - это компания с 26-ти летней историей, обладает репутацией надежного партнера в бизнесе и хорошего работодателя на рынке труда. Мы гордимся тем, что реализуем социально значимые проекты. Одним из ключевых направлений бизнеса Компании является разработка информационно-аналитических систем «МедВедь». Это комплекс информационных систем, которые автоматизируют процессы в области Здравоохранения и обеспечивают возможность пользоваться населению электронными услугами. Например, мы создаем системы, которые: Помогают формировать, выгружать и отправлять отчеты больницам и поликлиникам на уровень Минздрава; Помогают пациентам записываться на прием к врачам; Помогают вести учет лекарственных средств; Интегрируют между собой региональные медицинские системы; И другие проекты. Мы быстро развиваемся, количество проектов растет. Нашей команде нужно усиления, поэтому мы в поисках системного аналитика ! Задачи, которые нужно решать: Анализ бизнес-процессов и регламентирующих документов заказчика; Написание ТЗ, постановки задач для программистов; Проектирование баз данных, веб-интерфейсов; Участие в тестировании ИТ-решений; Внедрение ИТ-решений у заказчика; Проведение презентаций у заказчика, согласование состава работ с заказчиком. Необходимые компетенции: Знание принципов построения баз данных; Базовые знания языка SQL; Понимание принципов построения веб-приложений; Знание XML-технологий и опыт работы с ними: XML, XSD, XSLT, WSDL, SOAP; Опытный пользователь ПК (MS Office, MS Visio, MS Excel). Мы предлагаем: Возможность работать удаленно; Нетривиальные проекты и задачи, которые поддерживают мозг в тонусе:) Поддержку со стороны руководства внешнего и внутреннего обучения; Заботу компании о своих сотрудниках (ДМС, софинансирование спорта и изучения иностранных языков, дополнительно 7 дней социального отпуска); Достойный доход, который обсуждаем индивидуально; Насыщенную корпоративную жизнь: отмечаем Новый год, играем в интеллектуальные игры, ходим в походы. За 2018-2019 годы покорили Конжак, Юрму, Зюраткуль, Иремель. ",не указано,1–3 года,Системный аналитик,,185000.0,60000.0,удаленная работа,,Полная занятость,https://tyumen.hh.ru/vacancy/38197390,38
