,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url,count_day
7,Челябинск,МеталлСервис,не указаны,8 октября 2020," Инженер Конструктор Малых форм и Арт-объектов. Инженер конструктор. Приветствуем вас на странице интересной вакансии. Планируется запуск нового модельного ряда малых форм. Для этого нам нужен конструктор, имеющий опыт работы с металлом. Опыт составления чертежей, а также со способностью творчески мыслить и воплощать это в электронном варианте. Добро пожаловать на собеседование. Обязанности: Детальная проработка проектов новых моделей. Составление сборочных чертежей. Требования: Ответственность. Пунктуальность. Навыки работы с программами проектирования. Знание и понимание тех. чертежей. Творческие способности. Стремление к результатам. Условия: Занятость полная Работа в просторном офисе с кондиционером. Стабильная з/п Гибкий график ","Детальная проработка проектов новых моделей.,Составление сборочных чертежей.",не требуется,Инженер-Конструктор Малых форм и Арт-объектов,,50000.0,35000.0,гибкий график,"AutoCAD,разработка чертежей,Проектирование,нормативно-техническая документация,Mathcad,Пользователь ПК,Творческое мышление",Полная занятость,https://tyumen.hh.ru/vacancy/39699218,21
10,Челябинск,КОНАР,не указаны,14 октября 2020," Обязанности: техническое обслуживание и ремонт сложного технологического оборудования; разработка и реализация программ модернизации оборудования; отладка режимов работы; диагностика управляющих программ. Требования: высшее техническое образование; опыт разработки программ для АСУ ТП; программирование промышленных PLC; опыт разработки программ к HMI; участие в сборе исходных данных, составление функциональных и структурных схем АСУ для выполнения требований технологического процесса; участие в разработке СУ для размещения в производство; участие в тестирование и отладке ПО. Условия: Работа на крупном стабильно развивающемся производственном предприятии.( г. Челябинск). Полное соблюдение трудового законодательства РФ (первичный и повторный медицинский осмотр за счет компании, оплата отпусков, больничных листов, оформление по ТК). Заработная плата на карту банка 2 раза в месяц, оклад + премия. ""День банков и страховых компаний"" – консультации банков-партнеров, оформление электронного полиса обязательного медицинского страхования (для сотрудников и членов семей). Медицинский центр – консультации терапевта, узких специалистов; медицинские и физиопроцедуры. Корпоративный фитнес - центр АО ""КОНАР"" на территории предприятия (фитнес, тренажерный зал, массажный кабинет.), посещения бассейна «Юбилейный» за счет компании. Организованные зоны питания, Столовые «Уральские пельмени», кафе «Пончиковая"" и ""Кофейня"". Рабочее место: Енисейская.. Доставка служебным транспортом на работу/с работы по городу, внутри территории предприятия. Организована охраняемая стоянка для сотрудников компании. Интересная корпоративная жизнь (возможность льготного посещения игр «Трактор», участие в различных спортивных мероприятиях и т.д.). * Спасибо за интерес, проявленный к вакансии. Обращаем Ваше внимание, что компания рассматривает кандидатов на конкурсной основе. В вакансии указаны минимальные требования к квалификации для данной должности. Просмотр резюме и приглашение на интервью не является готовностью сделать Вам предложение о работе. Встречи или телефонные интервью будут проведены только с кандидатами, которые в наибольшей степени соответствуют требованиям и ценностям компании. Работодатель вправе заключить трудовой договор с любым из обратившихся кандидатов. ",не указано,3–6 лет,Инженер-программист АСУ ТП,,91000.0,65000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39810122,15
37,Челябинск,Ростелеком,"Работа в крупнейшем федеральном телеком операторе России;,Система бонусов по итогам работы за квартал и за год;,Оформление по ТК РФ (официальная заработная плата, оплачиваемый больничный);,График работы - 5/2 (пятница сокращенный рабочий день);,Возможность получения опыта и обучение за счет компании;,Командировки по Челябинской области 30-40% рабочего времени",21 сентября 2020," Должностные обязанности: Выполнение поверки, калибровки и ремонта средств измерений, участие в организации метрологического обеспечения. Выполнение работ по внедрению современных методов и средств измерений. Участие в метрологическом надзоре за состоянием и применением средств измерений соблюдением метрологических норм и правил в Филиале. Требования: Высшее профессиональное (техническое) образование без требований к опыту работы Условия: Работа в крупнейшем федеральном телеком операторе России; Система бонусов по итогам работы за квартал и за год; Оформление по ТК РФ (официальная заработная плата, оплачиваемый больничный); График работы - 5/2 (пятница сокращенный рабочий день); Возможность получения опыта и обучение за счет компании; Командировки по Челябинской области 30-40% рабочего времени ",не указано,не требуется,Ведущий инженер по метрологии,Высшее профессиональное (техническое) образование без требований к опыту работы,28000.0,22000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39342152,38
39,Челябинск,НПО РТС,не указаны,14 октября 2020," Наша компания занимается разработкой, производством и обслуживанием аппаратуры систем посадки, навигации и управления воздушным движением. Обязанности: Поддержка текущих проектов; Разработка нового ПО; Работа с Gitlab; Работа со структурами проекта, добавление описаний и инструкций ; Требования: Знание языков программирования C++, JavaScript, Python, QML и библиотеки qt; Знания о системах управления версий (GIT); Приветствуются знания в разработке PLIS (VHDL или Verilog); Умение читать и понимать электрические принципиальные схемы устройств. Условия: Дружный коллектив, всегда рады новым, творческим людям; Офис в офисе в центре города; Профессиональный и личностный рост "," , , , , , , , ",1–3 года,Инженер-программист,,47000.0,42000.0,полный день,"Английский — A2 — Элементарный,Python,Git,Qt,C++",Полная занятость,https://tyumen.hh.ru/vacancy/39639658,15
51,Челябинск,НПП Политех-Автоматика,не указаны,7 октября 2020," Обязанности: 1) Реализация веб-проекта ""под ключ"": выполнение функций архитектора, программиста-разработчика, в том числе frontend, backend, базы данных, настройка интеграции веб-проекта с различными системами (БД, брокеры сообщений, АСУТП и т.д). 2) Доработка уже существующего веб-проекта, его техническая поддержка (JavaScript, PHP, Oracle). 3) Администрирование веб-сервера Apache. Сфера разработки: Веб-приложения для промышленности, автоматизирующие работу с математико-статистическими моделями. Общий принцип работы веб-приложений: - ввод данных, необходимых для работы модели; - запуск математическо-статистической модели; - отображение результатов работы модели и сохранение в базу данных. Обязательные требования: 1) Опыт написания веб-сайтов с использованием Java (PHP) + JavaScript (HTML, CSS). 2) Опыт работы с СУБД, например PostgreSQL, MS SQL, Oracle, включая установку, настройку, разработку архитектуры базы (проект может быть небольшим). Можно в команде. 3) Опыт администрирования Linux и Windows. Установка и настройка Apache, odbc, запуск задач по расписанию. Дополнительные требования: 1) Опыт работы с NoSQL базами данных, интеграционными шинами, брокерами сообщений типа Kafka. 2) Опыт работы с OPC серверами, АСУТП предприятий. 3) Опыт использования Docker, Putty. 4) Технический английский. 5) Общее представление о статистике, машинном обучении, моделировании. Преимуществом будет: 1) Знание языков для статистической обработки данных (R или Python). 2) Опыт работы на промышленном предприятии. 3) Опыт совместной работы с другими программистами. 4) Опыт Git, DevOps. Оклад по результатам собеседования. ",не указано,1–3 года,Инженер-программист,,58606.2,51906.5,полный день,"Английский — B1 — Средний,Git,JavaScript,Python,PostgreSQL,Linux,MS SQL,Работа с базами данных,HTML,MySQL,PHP,PHP5,Математическое моделирование,R,Apache HTTP Server,Разработка ПО,Веб-программирование,Docker,Putty,АСУТП,DevOps,NoSQL,ORACLE,Kafka,Промышленность",Полная занятость,https://tyumen.hh.ru/vacancy/39670683,22
52,Челябинск,ГиперСеть,не указаны,7 октября 2020," Обязанности: Подключение и обслуживание абонентов; Настройка клиентского оборудования; Диагностика и устранение аварийных ситуаций; Работа по заявкам абонентов; Требования: Среднее профессиональное или высшее образование; Технические знания современных технологий сети Интернет, основ построения сетей передачи данных; Опыт работы в сфере связи; Опыт работы с устранением неполадок и сбоев; Условия: Трудоустройство в полном соответствии с требованиями ТК РФ; Пятидневная рабочая неделя; Компенсация ГСМ и корпоративная сотовая связь; ",не указано,1–3 года,Инженер технического отдела,,58606.2,40000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39670741,22
55,Челябинск,Интерсвязь,не указаны,28 сентября 2020," Должностные обязанности: Работа с серверным и сетевым оборудованием в серверных помещениях компании: монтаж, сборка, замена оборудования или комплектующих, диагностика и устранение неисправностей. Первичная настройка оборудования перед установкой в серверные помещения. Работа с оптическими линиями связи: локальными, межсерверными, магистральными. Коммутация (сборка новых каналов, расширение текущих, замена и модернизация оборудования), перекроссировка. Работа с технологиями спектрального уплотнения. Устранение аварийных ситуаций. Выполнение плановых работ: текущее обслуживание серверной, планово-профилактические работы, перенос оборудования в другие серверные помещения. Подготовка, планирование, согласование работ в серверных помещениях. Получение ТМЦ со склада; Учёт и контроль расходных материалов и резервного запаса. Расчёт, выбор и закупка нового оборудования под нужды заказчиков; Участие в вводе в эксплуатацию новых серверных. Поддержание порядка в коммутации. Взаимодействие с представителями клиентов, размещающих оборудование на co-location и представителями сторонних организаций по части сборки каналов связи. Работа предполагает разъездной характер по городу и области, компенсация расходов предусмотрена. Требования: Продвинутый уровень пользования ПК, базовое знание unix-систем; Знание английского языка начальный-средний; Понимание архитектуры ПК. Плюсом будет знание особенностей серверной архитектуры и комплектующих; Понимание принципов работы сетей передачи данных; Плюсом будет понимание основ работы волоконно-оптических линий связи и передачи данных. Готовы рассмотреть кандидатов без опыта работы Приветствуется: Опыт работы с измерительным оборудованием; Опыт эксплуатации серверного оборудования; Терпение, последовательность, и аккуратность в работе. Условия работы: Официальное трудоустройство, социальный пакет, комфортный офис, профессиональная команда, пятидневная рабочая неделя с 09-00 до 18-00, корпоративные мероприятия в стиле ЗОЖ. Образование: среднее профессиональное, высшее Благодарим всех соискателей, которые направят отклик на данную вакансию. Ваше резюме будет рассмотрено в течение ближайшего времени. ",не указано,1–3 года,Инженер структурированных кабельных сетей,"Продвинутый уровень пользования ПК, базовое знание unix-систем;,Знание английского языка начальный-средний;,Понимание архитектуры ПК. Плюсом будет знание особенностей серверной архитектуры и комплектующих;,Понимание принципов работы сетей передачи данных;,Плюсом будет понимание основ работы волоконно-оптических линий связи и передачи данных.,Готовы рассмотреть кандидатов без опыта работы",50000.0,30000.0,полный день,"Английский язык,Пользователь ПК,cli,dwdm-сети,серверное оборудование",Полная занятость,https://tyumen.hh.ru/vacancy/39481948,31
73,Челябинск,ДСК Урал,не указаны,9 октября 2020," Обязанности: Изготовление и испытание образцов бетонных смесей Контроль качества бетонной смеси и раствора Отбор проб, входной контроль инертных материалов Ведение журналов Подбор и корректировка карт подбора бетонной смеси Предоставление отчета о результатах проведенных испытаний, непосредственному руководителю Требования: Не ниже средне-специального образования Уверенное владение ПК Опыт работы от 3-х лет Знание ГОСТов, СНИПов Условия: Официальное трудоустройство Предоставляется полный соц.пакет Зарплата по итогам собеседования Питание и проживание за счет работодателя (для иногородних) Место работы : с.Тюбук (Челябинская обл) ",не указано,3–6 лет,Инженер-лаборант (Тюбук),,58606.2,50000.0,полный день,"Контроль качества,Пользователь ПК,Умение планировать",Полная занятость,https://tyumen.hh.ru/vacancy/39718131,20
92,Челябинск,Агентство Бизнес и Кадры,не указаны,14 октября 2020," В связи с расширением отдела, открыта вакансия инженера -проектировщик АСУТП в инжиниринговой компании. основное направление -разработка систем промышленной автоматизации и аналитических комплексов “под ключ "". Обязанности: Проектирование шкафов управления АСУ ТП, сборка, наладка. Разработка отдельных разделов проекта согласно плану графику проекта и техническому зданию; Оформление сопроводительных документов для сдачи проектной документации; Общение с Заказчиком по деталям проекта.; Подготовка, сдача, сопровождение проектной документации в экспертизе; Участие в пусконаладочных работах. Принятие грамотных и экономически выгодных технических решений. Требования: Высшее инженерно-техническое образование. Опыт работы от 3 лет; Понимание технической документации (например: схемы комплекса технических средств, локальной вычислительной сети, питания ПТК, принципиальные электрические схемы питания асу и т.п); Навыки работы с ПК на уровне опытного пользователя; Работа в программном комплексе AutoCAD, Компас, Exсel Приветствуется навык программирования асу тп. Условия: Стабильно развивающаяся компания. офис расположен на северо-западе. своевременная выплата з/п, ""белая"", размер обсуждается индивидуально на собеседовании. Возможность профессионального развития и карьерного рост.а. ","Проектирование шкафов управления АСУ ТП, сборка, наладка.,Разработка отдельных разделов проекта согласно плану графику проекта и техническому зданию;,Оформление сопроводительных документов для сдачи проектной документации;,Общение с Заказчиком по деталям проекта.;,Подготовка, сдача, сопровождение проектной документации в экспертизе;,Участие в пусконаладочных работах.,Принятие грамотных и экономически выгодных технических решений.",1–3 года,Инженер-проектировщик АСУТП,,70000.0,50000.0,полный день,"AutoCAD,Компас,Разработка проектной документации,Компас-3D,MS Project",Полная занятость,https://tyumen.hh.ru/vacancy/37840260,15
94,Магнитогорск,ИТЦ Аусферр,"Оформление по ТК РФ, испытательный срок: 3 месяца, полная занятость;,Белая зарплата + премии;,Пятидневный график работы;,Соц. пакет;,Современный офис;,Дружный коллектив;,Интересные задачи и возможность для профессионального роста.",5 октября 2020," Обязанности : Участие в техническом проектировании; Разработка ПО; Взаимодействие с командами разработчиков, аналитиков, тестировщиков. Требования : Знания современных web-технологий (SQL, PHP, CSS, javascript, jQuery, AJAX); Общее понимание принципов работы web-серверов; Понимание принципов ООП; Знание реляционных БД; Опыт разработки информационных систем; Личные качества: ответственность, порядочность, внимательность, обязательность, обучаемость, умение работать в команде. Условия : Оформление по ТК РФ, испытательный срок: 3 месяца, полная занятость; Белая зарплата + премии; Пятидневный график работы; Соц. пакет; Современный офис; Дружный коллектив; Интересные задачи и возможность для профессионального роста. Уровень месячного дохода: определяется по результатам собеседования в зависимости от квалификации. ","Участие в техническом проектировании;,Разработка ПО;,Взаимодействие с командами разработчиков, аналитиков, тестировщиков.",1–3 года,Инженер-программист,"Знания современных web-технологий (SQL, PHP, CSS, javascript, jQuery, AJAX);,Общее понимание принципов работы web-серверов;,Понимание принципов ООП;,Знание реляционных БД;,Опыт разработки информационных систем;,Личные качества: ответственность, порядочность, внимательность, обязательность, обучаемость, умение работать в команде.",100000.0,30000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39618077,24
