,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url,count_day
0,Челябинск,Коммерсантъ Южный Урал,не указаны,13 октября 2020," «Коммерсантъ Южный Урал» –деловое издание в Челябинской, Курганской области Ключевыми являются отраслевые темы, бизнес, экономика, инвестиционная политика, а также важные социально-политические события региона. «Коммерсантъ» – авторитетное и влиятельное медиа для людей, принимающих решения. Газета зарегистрирована в Комитете РФ по печати. Свидетельство о регистрации № 01243 22 декабря 1997 г. Мы ищем менеджера рекламных проектов, по продажам и работе с клиентами. Вам предстоит: - Поддерживать существующую клиентскую базу в активном состоянии, привлекать новых клиентов; - Вести переговоры с первыми лицами компаний; - Выполнять план продаж; Наши ожидания. Вы: - ответственны и обладаете здравомыслием; - готовы много общаться с клиентами, легко находите общий язык с людьми; - внимательны к деталям и настойчивы в достижении целей; - быстро учитесь новому и способны развивать в себе недостающие навыки; Приветствуются: - опыт работы в СМИ; Мы предлагаем вам: - оформление и социальный пакет по ТК РФ; - возможность ведения крупных Федеральных клиентов; - работа в центре города; Вас ждет интересная работа в коллективе авторитетного и уважаемого издания. ",не указано,3–6 лет,Менеджер в отдел рекламы газеты Коммерсантъ-Южный Урал,,40000.0,18000.0,полный день,"Активные продажи,Холодные продажи,Ведение переговоров,Развитие продаж,Поиск и привлечение клиентов,Прямые продажи,Проведение презентаций,Навыки продаж,Работа в команде,Управление проектами,Телефонные переговоры,Заключение договоров,Деловая переписка,Деловое общение",Полная занятость,https://tyumen.hh.ru/vacancy/39763834,16
6,Челябинск,Touch-Secret,не указаны,7 октября 2020," Обязанности: Написание пресс-релизов о деятельности компании, подготовка описания для товаров, написание постов; Ведение групп в соцсетях (Вконтакте, Одноклассники, Fb, In, Twitter); Мониторинг и подготовка отчетов своей деятельности; Требования: Высшее образование; Опыт работы по данному направлению – от 1 года, Возможно без опыта; Опыт или навыки написания текстов (пресс-релизы, новости, рекламные записи, информационные посты, электронные рассылки, продающие тексты); Уверенный пользователь Интернет; Коммуникабельность; Грамотная устная и письменная речь! Вашим большим преимуществом будет знание En. Желание развиваться в текущей области; Обучаемость; Ответственность; Условия: Своевременная выплата достойной З/П. 5-дневная рабочая неделя. Оплачиваемый испытательный срок 1 мес. Мы интернет магазин и быстро развивающая компания. В компании очень дружная и приветливая атмосфера, мы все любим свою работу и развиваем наши навыки. Если вам нравиться писать, и вы хотите этим заниматься. Хотите чтобы время летело с удовольствием и незаметно. Вы нам подходите. Присылайте свои резюме на почту. Это самый быстрый способ связаться с нами, все резюме с почты рассматриваются в первую очередь. Жду ваших откликов! После прохождения предварительного этапа отбора будьте готовы к выполнению тестового задания. Необходимо будет подготовить несколько текстов для соцсетей и описание товара. ",не указано,не требуется,Контент-менеджер интернет-магазина/Журналист,,50000.0,25000.0,полный день,"Грамотная речь,Пользователь ПК,Написание текстов,Написание пресс-релизов,Копирайтинг,Креативность,Работа с большим объемом информации,Грамотность,Поиск информации в интернет,Ведение переписки,Электронная почта,Умение работать в коллективе",Полная занятость,https://tyumen.hh.ru/vacancy/39679099,22
8,Челябинск,"7 линия, digital-агентство",не указаны,16 сентября 2020," Рассмотрим кандидатов с небольшим опытом, начинающих специалистов, желающих развиваться в этой сфере. За сотрудником будет закреплён наставник, который будет заниматься обучением и консультированием по текущим вопросам. Обязанности: Проработка семантики, минусовка и пр. Разработка и ведение рекламных кампаний в системах Яндекс.Директ и GoogleAds. Аудит кампаний, аналитика, настройка целей. Подготовка кроссканальной отчётности. Требования: Приветствуются знания и опыт работы с любыми инструментами контекстной рекламой. Опыт аналитической работы в Яндекс.Метрике, GA тоже будут очень кстати. Хорошее знание русского языка. Высокая обучаемость и умение работать в режиме многозадачности. Условия: Своевременная стабильная заработная плата с перспективой повышения. Отличный loft-офис в центре города. Корпоративные мероприятия за счёт компании. Участие в интересных (в том числе собственных) проектах студии. Дружный молодой коллектив. ","Проработка семантики, минусовка и пр.,Разработка и ведение рекламных кампаний в системах Яндекс.Директ и GoogleAds.,Аудит кампаний, аналитика, настройка целей.,Подготовка кроссканальной отчётности.",не требуется,"Младший трафик-менеджер (Я.Директ, Google Ads)",,20000.0,20000.0,полный день,"Яндекс.Директ,Работа с директ командером,Контекстная реклама,Внешний аудит контекстной рекламы,Работа с системами аналитики,Google AdWords,Яндекс.Метрика,Google Analytics,Ремаркетинг",Полная занятость,https://tyumen.hh.ru/vacancy/39265327,43
12,Челябинск,СотБи-трейд,не указаны,13 октября 2020, Обязанности: Упаковка и позиционирование YOUTUBE канала Настройка канала для видимости поисковых систем Настройки видео для привлечения бесплатного целевого трафика на сайт Требования: опыт ведения YOUTUBE коммуникабельность Условия: интересная творческая работа достойная оплата работа по совместительству офис в центре города ,не указано,1–3 года,Менеджер Youtube канала,,86130.4,34727.3,полный день,"Поисковые системы,YOUTUBE",Частичная занятость,https://tyumen.hh.ru/vacancy/39803993,16
13,Челябинск,Мистер Труман,не указаны,14 октября 2020," Компания Мистер Труман – динамично развивающееся digital-агентство. Специализируемся на интернет-продвижении и web-разработке. Ищем в нашу команду специалиста на позицию аккаунт-менеджера. MrTruman.ru - интересные предложения для Вашего бизнеса! Что нужно делать: Взаимодействовать с клиентами (телефон, почта, WhatsApp и другие способы связи); Управлять командой специалистов агентства, ставить задач и контролировать их исполнение; Контролировать оплаты клиентов; Участвовать в составлении стратегии продвижения проектов; Управлять документооборотом (договоры, счета); Кого мы ищем: Отличные коммуникативные навыки; Опыт работы от 1 года в смежной профессии; Ответственность; Будет преимуществом – знание систем аналитики; Будет преимуществом – был опыт запуска контекстной рекламы Условия работы: Развитая система премирования; Работа с интересными направлениями и решениями; Обучение и повышение квалификации; График 5/2 с 9 до 18, возможна удалённая работа после стажировки; Карьерный рост; Белая зарплата. ",не указано,3–6 лет,Аккаунт-менеджер,,50000.0,30000.0,полный день,"Интернет-реклама,Обучение и развитие,Управление интернет-проектами,WEB аналитика,Контекстная реклама,Google Analytics,Google AdWords,Яндекс.Метрика,Работа в команде,Проведение презентаций,Ведение переговоров,Яндекс.Директ,Управление проектами",Полная занятость,https://tyumen.hh.ru/vacancy/39813797,15
20,Челябинск,Интерсвязь,не указаны,28 сентября 2020," Начни работать по новому! В домашний call centre компании «Интерсвязь» нужны крутые продажники! Все, что от тебя нужно: -уютное и удобное рабочее место, а также возможность изолироваться для активной работы -домашний безлимитный высокоскоростной интернет (подключение к сети на скорости не менее 10 мбит/сек) -компьютер или ноутбук, гарнитура(наличие микрофона) -уверенный пользователь ПК Если ты владеешь грамотной речью, невероятно позитивным настроем, легко находишь общий язык с людьми, а также умеешь круто продавать, будем рады с тобой познакомиться! Твои обязанности: -работа с готовой абонентской базой (холодные звонки) -продажа популярных телеком -услуг (Интернет, кабельное и цифровое ТВ, видеонаблюдение и многое другое) -консультация по тарифам и акциям Наши условия: -работа удаленно (сделай рабочее место мечты сам!) -официальное трудоустройство (ТК РФ договор удаленной работы) -достойная и своевременная заработная плата (оклад +премия) -компенсация интернета, бесплатное предоставление IP телефонии -профессиональное обучение и развитие за счет компании - развитая корпоративная культура: проведение культурно-массовых мероприятий, организация досуга в популярных социальных сетях. С нами не соскучиться! Внимание, кандидатам! Все собеседования проводятся-удаленно. Документы на трудоустройство подписываются в офисе компании «Интерсвязь» (г. Челябинск). ",не указано,не требуется,Менеджер по продажам (удаленный call centre),,86130.4,35000.0,полный день,"Активные продажи,Холодные продажи,Грамотная речь,Телефонные переговоры,Пользователь ПК",Полная занятость,https://tyumen.hh.ru/vacancy/39474221,31
24,Челябинск,Цифровой элемент,"Официальное трудоустройство, социальный пакет (праздники, оплата отпуска, больничного).,Стабильная высокая заработная плата.,Бонусы по успешному завершению проектов.,Интересные и сложные задачи.,Внутрикорпоративные семинары и тренинги, профессиональный и личностный рост.,Офис в центре города рядом с парком, чай, кофе, печенки.,Молодой дружный коллектив.",14 октября 2020," Компания Цифровой Элемент – ведущее интернет-агентство Челябинска. Мы входим в ТОП 20 компаний России и с каждым днем стремимся стать лучше. Мы специализируемся на разработке и поддержке интернет-проектов любого уровня сложности, включая highload и gamedev . Свои проекты нам доверяют как крупные компании, так и небольшие фирмы со всей России. О нас: Нам 10 лет. В Челябинске более 50 сотрудников. Мы работаем с известными брендами и крупнейшим бизнесом: ПАО «Газпром», ОАО «РЖД», ПАО Банк «ФК Открытие», «РОСАТОМ», «РОСНЕФТЬ», РАО ЕЭС, ПАО «Фортум», ХК «Трактор», МЦ «Лотос», «Оптик-Центр», «ШИНИНВЕСТ», Сеть аптек «Рифарм», Сеть аптека «Классика» и с многими другими известными компаниями города и страны. Обязанности : Контроль и координирование работы над проектами проектной команды. Разработка и формализация технических заданий. Развитие текущих клиентов, консультирование по статусам проектов и услугам компании. Переговоры на уровне первых лиц, выявление потребностей, возможностей клиента. Презентация результата работы (состояния проекта) на разных его стадиях. Обсуждение условий договора с клиентом face-to-face. Составление и ведение отчетности. Требования : Высшее образование в области ИТ, управления проектов. Опыт работы в управлении ИТ-проектами от 1 года. Неподкупный интерес к сфере разработки ПО, интернет-маркетинга и тяга к новым знаниям. Навыки ведения переговоров; отличные коммуникативные и презентационные навыки. Дисциплина. Условия : Официальное трудоустройство, социальный пакет (праздники, оплата отпуска, больничного). Стабильная высокая заработная плата. Бонусы по успешному завершению проектов. Интересные и сложные задачи. Внутрикорпоративные семинары и тренинги, профессиональный и личностный рост. Офис в центре города рядом с парком, чай, кофе, печенки. Молодой дружный коллектив. ","Контроль и координирование работы над проектами проектной команды.,Разработка и формализация технических заданий.,Развитие текущих клиентов, консультирование по статусам проектов и услугам компании.,Переговоры на уровне первых лиц, выявление потребностей, возможностей клиента.,Презентация результата работы (состояния проекта) на разных его стадиях.,Обсуждение условий договора с клиентом face-to-face.,Составление и ведение отчетности.",1–3 года,Менеджер по управлению проектами / менеджер проектов (разработка),"Высшее образование в области ИТ, управления проектов.,Опыт работы в управлении ИТ-проектами от 1 года.,Неподкупный интерес к сфере разработки ПО, интернет-маркетинга и тяга к новым знаниям.,Навыки ведения переговоров; отличные коммуникативные и презентационные навыки.,Дисциплина.",100000.0,50000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39819662,15
26,Челябинск,Рыббла,не указаны,7 октября 2020," Обязанности: 1. Ежедневная коммуникация с партнерами,одновременная работа по нескольким проектам, допродажи услуг; 2. Сопровождение существующих проектов,постановка и контроль выполнения задач, сроков, согласование результатов с заказчиком; 3. Координация работы над проектом внутри компании 4. Подготовка промежуточных и финальных отчетов 5. Подготовка отчетности по проектам; Требования: 1. умение организовывать себя и свою работ 2. Готовность к интенсивной работе, большим объемам информации 3 3. Умение излагать свои мысли на бумаге. 4. Умение ставить правильные цели Оплата труда: 1. Окладная часть 2. Бонусная программа за ведение СРМ 3 Процент за сдачу проектов 4. Повышенный процент за доп продажу существующим клиентам ",не указано,не требуется,Менеджер проектов,,86130.4,25000.0,полный день,"Работа в команде,Сопровождение клиентов,Управление отношениями с клиентами,Клиентоориентированность,Ведение отчетности,Работа с большим объемом информации",Полная занятость,https://tyumen.hh.ru/vacancy/39680256,22
33,Челябинск,Центр Кибербезопасности,не указаны,14 октября 2020," «Центр КиберБезопасности» - амбициозная команда профессионалов в сфере информационной безопасности В связи с активным ростом компании мы ищем менеджера по продажам услуг и продуктов на рынке B2B и B2G. Обязанности: - Продажа продуктов и услуг компании - Проведение переговоров с первыми лицами компании (в основном телефонные, реже встречи) - Наработка базы клиентов, развитие существующей - Подготовка коммерческих предложений под потребности клиента - Ведение учета активностей, соблюдение воронки продаж - Ежемесячное выполнение плановых показателей Требования: - Приветствуется опыт активных продаж - Навыки ведения деловой переписки и переговоров - Ответственность, коммуникабельность, грамотная речь, стрессоустойчивость - Знание ПК на уровне пользователя Условия: - Конкурентная зарплата без верхнего предела (оклад+% от ваших продаж) - Работа в активно развивающейся отрасли с командой профессионалов. - Трудоустройство согласно ТК РФ - Внутреннее обучение по услугам компании, наставничество - Возможность карьерного и профессионального роста - Офис расположен в мкрн. Парковый ",не указано,не требуется,Менеджер по продажам,,86130.4,35000.0,полный день,"Телефонные переговоры,Грамотная речь,Навыки продаж,Работа в команде,Навыки переговоров,Умение работать в команде,Навыки телефонных продаж,Ведение переговоров",Полная занятость,https://tyumen.hh.ru/vacancy/39816085,15
35,Челябинск,ЛАВКА КОФЕ ЧАЯ,не указаны,12 октября 2020," В связи с расширением приглашаем на работу менеджера в наш интернет-магазин: активных, целеустремленных и амбициозных сотрудников, готовых расти и развиваться вместе с нами! Мы предлагаем интересную и стабильную работу, удобный график работы, обучение и развитие внутри компании. Что мы предлагаем: Конкурентную заработную плату. Доход не ограничен (!!!) Удобный график работы: 5/2, с с 9 до 18:00. Наших сотрудников мы официально оформляем и даем все возможности для быстрого карьерного роста; У нас уютная домашняя атмосфера: чай/кофе, дружный коллектив. Что надо будет делать: Работать с клиентами нашей компании: Обработка входящих заявок и осуществление исходящих звонков постоянным клиентам компании; Грамотно консультировать клиентов по продукции компании; Информировать о новинках и акциях; помогать в выборе оптимального варианта; Консультировать клиентов о условиям работы; Работа в СRM-системе БИТРИКС 24; Оформлять заказы в программе 1С. Необходимый минимум навыков, для встречи с нами: Высшее образование; Грамотная речь и хорошая дикция; Опыт работы на телефоне, в call-центре; Опыт работы в активных продажах; Отличные коммуникативные и презентационные навыки; Умение убеждать, нацеленность на результат. ",не указано,1–3 года,Менеджер интернет-магазина,,86130.4,30000.0,полный день,"Коммуникабельность,активность,приятная речь,Клиентоориентированность,Ведение переговоров,Активные продажи,Сопровождение клиентов,Работа в команде,Грамотная речь,Пользователь ПК,Телефонные переговоры",Полная занятость,https://tyumen.hh.ru/vacancy/37370876,17
