,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url,count_day
29,Челябинск,Некстайп,не указаны,15 октября 2020," Горите сферой интернет-маркетинга? Желаете стать профессионалом в своем деле и высококлассным экспертом? В таком случае, вам точно к нам! Мы крутая веб-студия, которая развивается и масштабируется постоянно. Мы всегда рады новым талантам, а самое главное готовы обучать! Наши клиенты находятся по всей территории РФ и СНГ. Мы работаем с такими компаниями как: Nutricia, Heinz Baby, Coral Travel, Metro CC и с рядом других, крупных, известных брендов. Что ты получишь от нас: Рост -мы за развитие наших сотрудников, поэтому готовы предоставить тебе все для этого необходимое: обучающие курсы, наставника, специализированное место. Окружим тебя заботливыми коллегами, которые всегда готовы протянуть руку помощи. Возможность развития- наша цель, предоставить тебе возможность дальнейшего роста в компании. У тебя будет возможность быстро вырасти из позиции помощника, до полноценного Seo-оптимизатора или директолога, что тебя привлекает больше?) Проекты- у нас безумно интересные задачи! Мы разработчики собственных готовых решений, которые так же нуждаются в продвижении. И конечно же, много интересных, сложных и крупных проектов наших клиентов! Что мы ждем от тебя: Стремление к развитию, горящие глаза на сферу интернет-маркетинга. Упёртость в своих намерениях, отсутствие страха трудностей, и настойчивость покорить новые вершины. Любовь к анализу данных, потому что SEO это много цифр и аналитики. Бонусом будет, если у вас уже есть базовые знания по Seo-оптимизации сайтов и интернет-маркетингу. Откликайтесь на вакансию, мы всегда рады пообщаться с талантливыми и интересными людьми! ",не указано,не требуется,Помощник интернет-маркетолога,,25000.0,15000.0,полный день,"Английский — A1 — Начальный,SEO оптимизация,Контекстная реклама,SMM,Яндекс.Метрика,Google Analytics,Internet Marketing,Управление проектами,Интернет-реклама,Google AdWords,Яндекс.Директ,SEO,1С-Битрикс,SEO-копирайтинг,Social Media Marketing,Управление интернет-проектами,Маркетинговый анализ",Полная занятость,https://tyumen.hh.ru/vacancy/38617492,14
62,Челябинск,Котельный завод ФАЧИ,"Пятидневная рабочая неделя (9.00-18.00).,Трудоустройство по ТК РФ (официально), соц. пакет,Своевременная, официальная З/П (два раза в месяц на банковскую карту) окладно-премиальная оплата (по результатам собеседования и работы от 25 т.р.),Металлургический район. возможна доставка служебным транспортом,Бесплатная охраняемая парковка,Питьевая вода в кулере,Направление деятельности: производство оборудования и нестандартных металлоконструкций, запчасти для промышленного оборудования,Условия работы не ограничиваются размером з/п, Нужно также учитывать уровень новых задач, и возможности для реализации творческого потенциала и креативной мысли.,Мы бы хотели видеть среди наших коллег высокомотивированных людей, которые хотят не только заработать деньги, но и привнести что-то полезное в мир.,Вы получите интересную работу в компании с международным брендом по производству стратегически важного оборудования, которое приносит людям тепло, где Вы сможете реализовать свои профессиональные навыки и возможности карьерного роста.,Готовность собеседования по Skype",17 сентября 2020," Обязанности: дизайн работа с соц.сетями, создание контента для соц.сетей и сайта (видео, фото), обработка контента (монтаж,обработка), работа с CMS сайта - обновление информации, общие маркетинговые задачи. Требования: Опыт работы с соц.сетями Знание графических программ: Photoshop, Corel Уверенный пользователь ПК Умение самостоятельно находить и обрабатывать информацию Инициативность, самоорганизованность, исполнительность, творческий потенциал, умение работать в режиме многозадачности Стаж работы от 2 лет Грамотная письменная и устная речь Условия: Пятидневная рабочая неделя (9.00-18.00). Трудоустройство по ТК РФ (официально), соц. пакет Своевременная, официальная З/П (два раза в месяц на банковскую карту) окладно-премиальная оплата (по результатам собеседования и работы от 25 т.р.) Металлургический район. возможна доставка служебным транспортом Бесплатная охраняемая парковка Питьевая вода в кулере Направление деятельности: производство оборудования и нестандартных металлоконструкций, запчасти для промышленного оборудования Условия работы не ограничиваются размером з/п, Нужно также учитывать уровень новых задач, и возможности для реализации творческого потенциала и креативной мысли. Мы бы хотели видеть среди наших коллег высокомотивированных людей, которые хотят не только заработать деньги, но и привнести что-то полезное в мир. Вы получите интересную работу в компании с международным брендом по производству стратегически важного оборудования, которое приносит людям тепло, где Вы сможете реализовать свои профессиональные навыки и возможности карьерного роста. Готовность собеседования по Skype ","дизайн,работа с соц.сетями,,создание контента для соц.сетей и сайта (видео, фото),,обработка контента (монтаж,обработка),,работа с CMS сайта - обновление информации,,общие маркетинговые задачи.",1–3 года,Маркетолог/ Контент-менеджер,"Опыт работы с соц.сетями,Знание графических программ: Photoshop, Corel,Уверенный пользователь ПК,Умение самостоятельно находить и обрабатывать информацию,Инициативность, самоорганизованность, исполнительность, творческий потенциал, умение работать в режиме многозадачности,Стаж работы от 2 лет,Грамотная письменная и устная речь",40000.0,30000.0,полный день,"Adobe Photoshop,Креативность,CorelDRAW,Дизайн,Написание текстов,Графический дизайн,Копирайтинг,Продвижение в социальных сетях",Полная занятость,https://tyumen.hh.ru/vacancy/39284016,42
82,Челябинск,Аспро," , , , , , , , , , ",12 октября 2020," Компания Аспро — команда профессиональных разработчиков программного обеспечения. Мы помогаем запускать онлайн-бизнес: создаем готовые сайты и интернет-магазины, оказываем услуги по их сопровождению и доработкам. Последние 6 лет мы являемся лидером разработки и продажи программных продуктов 1С-Битрикс в России и странах СНГ. Наши готовые сайты помогают развиваться бизнесу и задают стандарты для всей отрасли. Маркетинг в Аспро — фундамент создания и развития IT-продуктов. Маркетологи работают в связке с отделом разработки на этапе формирования идей, а затем — с отделами продаж, техподдержки и дизайнеров продвигают решения и увеличивают NPS. Так как маркетинг важен на каждом этапе коммуникации с клиентами, мы уделяем особое внимание развитию отдела и сотрудников. Что нужно делать: Вы станете частью экспертной команды и погрузитесь в продуктовый маркетинг. Будете проводить исследования рынка, позиционировать продукт, привлекать и возвращать клиентов. Мы погрузим в IT-специфику и обучим тонкостям работы. Нужно будет много учиться и развиваться в маркетинге, чтобы расти профессионально и в должности. Вы получите самые современные знания и методики работы digital-сфере. Чтобы достичь поставленных целей, вы будете прокачиваться в email-маркетинге, копирайтинге, ведении соцсетей, продвижении на YouTube и познаете другие инструменты. Если термины LTV, CTR, SWOT, ABC-анализ, ЦА вас не пугают, то мы говорим на одном языке. Обязательные требования: Не бояться технических статей и терминов; Понимать, чем хороший текст отличается от плохого; Уметь генерировать контент — как минимум писать статьи и посты; Ориентироваться в IT и digital-сфере. Приветствуются: Въедливость: умение решать задачи, погружаться в тему и быстро разбираться в новом; Базовые знания 1С-Битрикс и Битрикс24; Опыт в SMM, ведение рекламных кампаний в Facebook, ВКонтакте; Опыт в email-маркетинге и работы с сервисами рассылок (MailChimp, GetResponse и др.); Опыт проведения маркетинговых исследований и мероприятий. Условия: Официальное трудоустройство, соц. пакет по ТК РФ (оплачиваемый отпуск, больничный и т.п.); График работы пн-пт 09:30-18:00; Кофе, чай за счет компании; Профессиональный и личностный рост; Уровень заработной платы обсуждается по результатам собеседования и зависит от ваших знаний и опыта работы. Внимание! В сопроводительном письме пришлите, пожалуйста, ссылки на ваши опубликованные тексты, статьи, посты, группы в социальных сетях, которые вы вели и т. д. ",не указано,1–3 года,Ассистент маркетолога,,43000.0,25000.0,полный день,"B2B маркетинг,B2C маркетинг,Продвижение в социальных группах,E-Mail Marketing,Internet Marketing,1С-Битрикс,Продвижение бренда,Интернет маркетинг",Полная занятость,https://tyumen.hh.ru/vacancy/39244830,17
86,Челябинск,Иванова Алла Владимировна,не указаны,17 сентября 2020," Ведение нескольких интернет-проектов из Москвы, Санкт-Петербурга и Челябинска. Обязанности: Анализ данных, и структурирование информации в отчетах Разработка и корректировка действующих рекламных каналов Разработка акций по повышению продаж в Интернет Маркетинге Требования: Опыт работы в сфере интернет-маркетинга от 2 лет. Работа в офисе. Полный рабочий день. Условия: Обучение и помощь к адаптации к рабочему месту Карьерный рост и рост заработной платы. Они будут обусловлены Вашими способностями и умениями. ","Анализ данных, и структурирование информации в отчетах,Разработка и корректировка действующих рекламных каналов,Разработка акций по повышению продаж в Интернет Маркетинге",1–3 года,Интернет-маркетолог (в офис),,43000.0,30000.0,полный день,"SEO оптимизация,Контекстная реклама,Ведение групп в социальных сетях",Полная занятость,https://tyumen.hh.ru/vacancy/39307712,42
134,Челябинск,Завод Тяжелых Гусеничных Машин,не указаны,5 октября 2020," Обязанности: Продвижение сайта (SEO, Контекст) Наполнение интернет-сайта контентом, администрирование интернет-сайта; - Построение аналитики и отчетности (знание Яндекс Метрики, Яндекс Вебмастера, Google Analytics, Google Search Console); - Анализ рынка сбыта продукции. - Анализ рынка конкурентов. -Размещение и продвижение рекламных компаний на интернет площадках, порталов спецтехники, досок объявлений. Требования: Опыт составления продающих объявления Google.Ads и Яндекс.Директ; Знание CRM, интернет-маркетинга, продакт-менеджмента, анализ рынка, маркетинговых исследований, ценообразования, Креативное мышление; Ответственность, исполнительность; Условия: график работы пн-пт с 10:00 до 18:00, сб, вск выходной. своевременная зарплата. ",не указано,не требуется,Интернет-маркетолог,,40000.0,30000.0,полный день,"SEO оптимизация,Google Analytics,Яндекс.Метрика,Маркетинговый анализ,Яндекс.Директ",Полная занятость,https://tyumen.hh.ru/vacancy/39631298,24
135,Челябинск,ЛАВКА КОФЕ ЧАЯ,не указаны,12 октября 2020," Цели: Увеличение прибыли с рекламных источников Сокращение расходов на рекламную кампанию Задачи: Настройка контекстной, таргетированной и медийной рекламы в Яндекс Директ, Google Ads, Вконтакте, Instagram (через рекламный кабинет Facebook) Инфраструктура: Один из лучших в России интернет-магазинов в классе чая и кофе, который успешно работает уже более 10 лет. Интернет-магазин часть большой и стабильной компании, которая благодаря работе с продуктами питания пережила все кризисы. График 5/2, с 9:00 до 18:00 (сб, вс - выходные) Ориентация на долгосрочное сотрудничество, возможность профессионального развития и карьерного роста. ",не указано,1–3 года,Таргетолог-директолог и специалист по Google Ads,,43000.0,32500.0,полный день,"Яндекс.Директ,Контекстная реклама,Интернет-реклама,Google Analytics,Яндекс.Метрика",Полная занятость,https://tyumen.hh.ru/vacancy/38822956,17
141,Челябинск,АМК Химико Рус,не указаны,23 сентября 2020," Обязанности: Создание, ведение и корректировка рекламных кампаний в Яндекс.Директ, Гугл Адвордс Подбор семантического ядра для рекламных кампаний Работа с системой аналитики Яндекс.Метрика Аналитика используемых ресурсов и их эффективности, внедрение инструментов, повышающих конверсию Отчетность по кампаниям, поисковым фразам Требования: Интерес к сфере интернет-маркетинга, тяга к новым знаниям Понимание специфики работы контекстной рекламы Умение самостоятельно принимать решения Аналитический склад ума, ответственность Условия: Трудоустройство согласно ТК РФ Оклад + премия по выполнению плана Работа в офисе Пятидневная рабочая неделя с 08:30 до 17:30 Рассмотрим,в том числе, студентов - последний курс Если тебе нравится то, что ты делаешь, ты уже на 80% в нашей команде! ",не указано,1–3 года,Интернет-маркетолог(в офис Челябинск),,35000.0,20000.0,полный день,"Контекстная реклама,Яндекс.Директ,Интернет-реклама,Яндекс.Метрика,Интернет маркетинг,Лидогенерация",Полная занятость,https://tyumen.hh.ru/vacancy/39405311,36
169,Челябинск,SaitCraft,не указаны,16 сентября 2020," Привет! Мы digital-агентство «Saitcraft». Сейчас у нас открыта позиция контент-маркетолога, который бы занимался не клиентскими проектами, а продвижением нашего агентства. Цель нашей компании: Помогать российским промышленным компаниям и B2B выстраивать управляемую систему интернет-маркетинга “от денег до денег”, выращивая их них лидеров рынков в своих нишах. Немного о нас: — 8 лет на рынке; — Помогли заработать нашим клиентам более 2 млрд. руб. выручки за последние 3 года; — Всего в компании работает 18 человек. Наши продукты: — Маркетинговая стратегия; — Разработка сайтов; — SEO-продвижение; — Контекстная реклама; — E-mail-маркетинг. Задачи, которые вам предстоит решать: 1. Выстраивание системы подготовки кейсов / статей / чек-листов: — Нужно запрашивать «мясо» от коллег; — Проводить редактуру полученных материалов; — Ставить задачи дизайнеру на оформление; — Размещать их на нашем сайте, в наших соц. сетях, а также на других площадках, в том числе отраслевых. 2. Выстраивание системы производства видеоконтента: — Писать сценарии для роликов на YouTube; — Привлекать подрядчиков для съемок и монтажа контента; — Размещать ролики на YouTube, делать описания под SEO; — Ставить задачи дизайнеру на оформление шапки профиля. 3. Подготовка докладов для вебинаров и семинаров вместе с 2 спикерами: — Помощь в структурировании докладов, формулировании тезисов, выводов; — Оформление докладов; — Тестовые прогоны для отработки выступлений спикеров. — Выбор платформы / площадок для проведения; — Организация записи; — E-mail рассылки с приглашением по имеющимся базам партнеров; 4. Составление календаря отраслевых конференций и проталкивание наших спикеров на них: — Поиск информационных партнеров; — Подготовка спикеров и докладов из п.2. Требования: — Умение разрабатывать общую контент-стратегию, отвечающую общей концепции бренда и целям; — Умение грамотно планировать контент, создавать понятный подробный контент-план; — Умение делать анализ аудитории, поисковых запросов, освещаемой темы для проектирования, написания ТЗ на контента и самостоятельного создания контента; — Умение создавать сценарии/идеи для роликов, умеет понятно написать ТЗ для создания видео; — Умение создавать креативы, интересные вовлекающие тексты, и видео; — Умение работать с инструментами аналитики: Яндекс.Метрикой или GoogleAnalytics; — Опыт работы SMM-менеджером или контент-маркетологом не менее 2х лет; — Опыт SEO-копирайтинга - написания статей или создания контента; — Опыт работы с семантический ядром сайта и ключевыми словами в контенте; — Навык редактирования текстов и умение работать с контентом в любом формате, умение делать связки контента и контент-сериалы, нативные статьи; — Наш идеальный кандидат грамотно пишет тексты и безупречно владеет русским языком; — Понимание основ продвижение в YouTube и основные метрики видео-контента; — Базовые знания в email-маркетинге. Условия: — Стабильная зарплата 2 раза в месяц; — Молодые, при этом опытные коллеги: обучат и помогут с любым вопросом; — Профессиональное развитие: собственная библиотека, онлайн-курсы/тренинги; — Развлекательные события: корпоративы на НГ, ДР компании, ДР сотрудников; — Светлый просторный офис на с/з в районе Тополиной Аллеи; — Корпоративное обучение контент-маркетингу; — Чай, кофе, сладости за счет компании; — Оформление по ТК РФ (оплата отпуска, больничного листа). Высылайте резюме на ящик. До встречи в СайтКрафте! ",не указано,1–3 года,Контент-маркетолог / интернет-маркетолог,,43000.0,40000.0,полный день,"E-Mail Marketing,Копирайтинг,Internet Marketing,Интернет-реклама,Social Media Marketing",Полная занятость,https://tyumen.hh.ru/vacancy/39275439,43
228,Челябинск,Удобные Решения,не указаны,29 сентября 2020," Наша компания является разработчиком программных продуктов и мобильных приложений для сферы жилищно-коммунального хозяйства, в основе которых лежит коммуникация между жителями и управляющими компаниям. С 2018 года мы стали частью финской компании YIT. У нас два продукта: -Диспетчер 24 (функциональная CRM-система для управляющих организаций и ТСЖ, автоматизирующая работу аварийно-диспетчерской службы, клиентского отдела и колл-центр, базирующийся в Кургане); - OiCO (мобильное приложение для жителей управляющей компании, содержит необходимые сервисы для комфортной жизни). Наши клиенты – это УК и ЖКХ (B2B) и жители этих УК, конечные пользователи мобильного приложения (B2C). География нашего присутствия - 25 городов РФ: Екатеринбург, Тюмень, Курган, Казань, Москва, Санкт-Петербург, Новосибирск, Бердск, Краснодар и др. Открываем вакансию маркетолога, основной задачей которого будет интернет-продвижение продуктов компании на рынке и рост b2b аудитории: Функции: Разработка рекламных сообщений, текстов промо-материалов, статей, контента для размещения на сайте и в соц. сетях Погружение в продукт, изучение ЦА и конкурентов, формирование УТП Создание посадочных страниц в Tilda Создание презентаций для отдела продаж; Генерирование и проверка гипотез по рекламе Требования к профессиональным навыкам: Опыт решения подобных задач на b2b рынке от 2 лет Умение составлять эффективные заголовки и тексты; Опыт работы в IT сфере, понимание IT специфики будет большим преимуществом; Ваша эффективность будет измеряться качественными лидами. Наше предложение: Работа в продуктовой команде с амбициозными целями; Заработная плата в размере 50 000 - 70 000 (условия обсуждаем на собеседовании); Рассматриваем кандидатов по УрФО, в режиме удаленной работы, с условием личных встреч не менее 2 раз в месяц и сотрудничество в формате белой модели взаимодействия с самозанятыми, либо договор ГПХ). ",не указано,1–3 года,Маркетолог (продуктовый)," , , , , , ",70000.0,50000.0,полный день,"Продвижение бренда,Написание рекламных статей,Креативность,Ориентация на клиента,Product Promotion,Анализ конкурентной среды,Оценка потребностей клиентов,Анализ рынка",Полная занятость,https://tyumen.hh.ru/vacancy/39143352,30
458,Челябинск,Торговый дом «ЛАВР»,"Работа в крупнейшей компании-производителе автохимии и автокосметики;,Работа в активном, молодом и дружном коллективе;,Трудоустройство согласно ТК РФ;,График работы: пятидневка с 8:30 до 17:30;,Работа в современном уютном офисе в стиле loft.",15 октября 2020," Компания LAVR — российский бренд автохимии и автокосметики, основанный в 1997 году объявляет конкурс на позицию: Трейд-маркетолог в направлении e-commerce Нам нужен человек на управление товарным ассортиментом компании в партнерских интернет-магазинах. Т. е. некий симбиоз трейд-маркетолога и интернет-маркетолога. Обязанности: Разработка концепции маркетингового продвижения в канале Интернет. Управление товарной матрицей 270 SKU в партнерских интернет-магазинах, мониторинг представленности продукции компании в онлайн-продаже. Поддержка и развитие взаимоотношений с партнерами. Выстраивание и поддержка взаимоотношений по вопросам получения эксклюзивного контента для размещения на сайтах партнеров. Бюджетирование затрат на интернет продвижение и контроль исполнения бюджета. Глубокая аналитика показателей эффективности, оценка результатов и рекомендации для принятия управленческих решений. Взаимодействие с менеджерами Отдела развития продаж, отслеживание эффективности каналов от клика до продажи, формирование различных отчетов по лидам/продажам в разрезе рекламных каналов и маркетинговых активностей. Анализ активности конкурентов. Создание презентаций. Участвовать в разработке, организовывать локальные и национальные трейд-маркетинговые мероприятия и маркетинговые программы в e-commerce, контролировать их проведение, оценивать результаты и эффективность с целью выполнения утвержденных планов по товарообороту и увеличения доли рынка. Проводить и контролировать промоакции, оценивать их эффективность с целью выполнения утвержденных планов по товарообороту и увеличения доли рынка. Требования: Опыт работы в должности, связанной с интернет-маркетингом от 2-х лет Опыт работы трейд-маркетологом в FMCG-компании приветствуется Навыки ведения, управления и оптимизации рекламных кампаний в Интернете Знание ключевых метрик онлайн-аналитики Образование высшее маркетинг/экономика; Умение работать с большими объемами информации и в режиме дедлайна. Условия: Работа в крупнейшей компании-производителе автохимии и автокосметики; Работа в активном, молодом и дружном коллективе; Трудоустройство согласно ТК РФ; График работы: пятидневка с 8:30 до 17:30; Работа в современном уютном офисе в стиле loft. О компании: LAVR — это российский бренд автохимии и автокосметики, основанный в 1997 году. Производство, лаборатория и главный офис компании базируются в Челябинске, а продукция представлена более чем в 500 городах по всей России, в странах СНГ, ближнего и дальнего Зарубежья. LAVR входит в тройку самых крупных компаний России, производящих высокотехнологичные препараты для обслуживания двигателя. Уважаемые соискатели! Ваш отклик будет рассмотрен в течение 5 рабочих дней. В случае соответствия профессионального опыта требованиям вакансии мы свяжемся с Вами по указанным контактам. В случае не соответствия опыта требованиям вакансии, резюме будет помещено в кадровый резерв и при появлении вакансии, соответствующей Вашим пожеланиям и профессиональному опыту, мы свяжемся с Вами. Спасибо за проявленный интерес к вакансии и компании. ","Разработка концепции маркетингового продвижения в канале Интернет.,Управление товарной матрицей 270 SKU в партнерских интернет-магазинах, мониторинг представленности продукции компании в онлайн-продаже.,Поддержка и развитие взаимоотношений с партнерами.,Выстраивание и поддержка взаимоотношений по вопросам получения эксклюзивного контента для размещения на сайтах партнеров.,Бюджетирование затрат на интернет продвижение и контроль исполнения бюджета.,Глубокая аналитика показателей эффективности, оценка результатов и рекомендации для принятия управленческих решений.,Взаимодействие с менеджерами Отдела развития продаж, отслеживание эффективности каналов от клика до продажи, формирование различных отчетов по лидам/продажам в разрезе рекламных каналов и маркетинговых активностей.,Анализ активности конкурентов.,Создание презентаций.,Участвовать в разработке, организовывать локальные и национальные трейд-маркетинговые мероприятия и маркетинговые программы в e-commerce, контролировать их проведение, оценивать результаты и эффективность с целью выполнения утвержденных планов по товарообороту и увеличения доли рынка.,Проводить и контролировать промоакции, оценивать их эффективность с целью выполнения утвержденных планов по товарообороту и увеличения доли рынка.",1–3 года,Маркетолог (e-commerce),"Опыт работы в должности, связанной с интернет-маркетингом от 2-х лет,Опыт работы трейд-маркетологом в FMCG-компании приветствуется,Навыки ведения, управления и оптимизации рекламных кампаний в Интернете,Знание ключевых метрик онлайн-аналитики,Образование высшее маркетинг/экономика;,Умение работать с большими объемами информации и в режиме дедлайна.",43000.0,40000.0,полный день,"Торговый маркетинг,Маркетинговый анализ,Формирование бюджета,Деловая коммуникация,Аналитическое мышление,Анализ данных,Оценка эффективности промо акций,Internet Marketing,Продвижение бренда",Полная занятость,https://tyumen.hh.ru/vacancy/39477083,14
