,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url,count_day
9,Челябинск,Облачные решения,"Гибкий график работы после прохождения испытательного периода,Оклад обсуждается индивидуально.",7 октября 2020," Ищем Java разработчика в финтех проект MoneyCare. MoneyСare – кредитный брокер, независимый от банков и не аффилированный ни с одним из них. В рамках основного проекта развивается много интересных подпроектов. Микросервисная архитектура. Используем git, jira, gradle, docker, azure ml и др. Требования: Высшее техническое образование. Знание Java, ООП, структур данных, паттернов проектирования. Понимание KISS, SOLID и BDD. Опыт работы Java!!! разработчиком от 1 года. Spring, JDBC, REST, SOAP, JPA, Условия: Гибкий график работы после прохождения испытательного периода Оклад обсуждается индивидуально. Нет территориального ограничения рамками города Челябинска. Рассматриваем также кандидатов готовых работать удаленно. ",не указано,1–3 года,Java-разработчик,"Высшее техническое образование.,Знание Java, ООП, структур данных, паттернов проектирования. Понимание KISS, SOLID и BDD.,Опыт работы Java!!! разработчиком от 1 года.,Spring, JDBC, REST, SOAP, JPA,",200000.0,60000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39667365,22
10,Челябинск,КОНАР,не указаны,14 октября 2020," Обязанности: техническое обслуживание и ремонт сложного технологического оборудования; разработка и реализация программ модернизации оборудования; отладка режимов работы; диагностика управляющих программ. Требования: высшее техническое образование; опыт разработки программ для АСУ ТП; программирование промышленных PLC; опыт разработки программ к HMI; участие в сборе исходных данных, составление функциональных и структурных схем АСУ для выполнения требований технологического процесса; участие в разработке СУ для размещения в производство; участие в тестирование и отладке ПО. Условия: Работа на крупном стабильно развивающемся производственном предприятии.( г. Челябинск). Полное соблюдение трудового законодательства РФ (первичный и повторный медицинский осмотр за счет компании, оплата отпусков, больничных листов, оформление по ТК). Заработная плата на карту банка 2 раза в месяц, оклад + премия. ""День банков и страховых компаний"" – консультации банков-партнеров, оформление электронного полиса обязательного медицинского страхования (для сотрудников и членов семей). Медицинский центр – консультации терапевта, узких специалистов; медицинские и физиопроцедуры. Корпоративный фитнес - центр АО ""КОНАР"" на территории предприятия (фитнес, тренажерный зал, массажный кабинет.), посещения бассейна «Юбилейный» за счет компании. Организованные зоны питания, Столовые «Уральские пельмени», кафе «Пончиковая"" и ""Кофейня"". Рабочее место: Енисейская.. Доставка служебным транспортом на работу/с работы по городу, внутри территории предприятия. Организована охраняемая стоянка для сотрудников компании. Интересная корпоративная жизнь (возможность льготного посещения игр «Трактор», участие в различных спортивных мероприятиях и т.д.). * Спасибо за интерес, проявленный к вакансии. Обращаем Ваше внимание, что компания рассматривает кандидатов на конкурсной основе. В вакансии указаны минимальные требования к квалификации для данной должности. Просмотр резюме и приглашение на интервью не является готовностью сделать Вам предложение о работе. Встречи или телефонные интервью будут проведены только с кандидатами, которые в наибольшей степени соответствуют требованиям и ценностям компании. Работодатель вправе заключить трудовой договор с любым из обратившихся кандидатов. ",не указано,3–6 лет,Инженер-программист АСУ ТП,,91000.0,65000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39810122,15
18,Челябинск,СофтПлюс,не указаны,12 октября 2020," ВНИМАНИЕ: в связи с пандемией мы временно перешли на удалённый формат работы. Однако, когда ситуация стабилизируется, мы планируем вернуться к офисному формату. Требования – Крепкие знания основ Android и Java (или Kotlin); – Опыт работы с Activity и Service; – Работа в офисе в Челябинске: удалённой работы нет. Задачи службы Разработка мобильных приложений для проектов zaycev.fm и mursic.ru на платформах Android. С нами вы освоите – RxJava2 – Retrofit – Glide – Firebase – Android Architecture Components – практическое применение MVVM, MVP, Clean Architecture Учиться предстоит самостоятельно, при поддержке опытной команды и с возможностью получать консультации у экспертов Челябинска. Условия – Офис открыт с 08.00 до 22.00, договоритесь в команде об удобном времени совместной работы. – От вас - качество работ, от нас - информация и оборудование по вашему запросу. – Оплачиваем образование: курсы и профильные конференции для решения рабочих задач. – Работаем без жестких дедлайнов и без KPI. – Есть возможность договориться о зарплате выше чем у обычного Junior, учитывая ваш опыт на других языках. Пара слов от лидера службы Мы – ребята, которым больше всех надо. Нас не пугают новые технологии, а сложные задачи воспринимаем как вызов. Наш основной проект – интернет радио zaycev.fm. Его особенность в том, что все сделано в облаке на open source решениях. Команда ведущих и музыкальных редакторов работает удаленно из разных стран. Команда разработки сосредоточена в Челябинске. Следующий проект – Support desk для наших мобильных приложений. В режиме чата мы напрямую общаемся с пользователями и узнаем о всех проблемах и запросах прямо с «передовой») Эта же платформа используется для проведения опросов, оповещений и пользовательских исследований. Ещё мы создаём музыкального помощника. Цель - сократить время пользователя на поиск музыки, подбор, каталогизацию и составление плейлистов Наши проекты доступны на Web, Android, iOS. Осваиваем Smart TV, AndroidAvto, AppleCar, Chromecast и другие перспективные направления. ",не указано,не требуется,Начинающий Android разработчик,,40000.0,28000.0,гибкий график,"Java,Android,Kotlin",Полная занятость,https://tyumen.hh.ru/vacancy/39437671,17
31,Магнитогорск,Персона+,не указаны,2 октября 2020," ООО ""Персона+"" оказывает услуги, в том числе и в сфере IT, группе компаний, связанных с производством колбасной и некоторых других видов продукции, доставкой продукции, оптовой и розничной торговлей. Место фактического нахождения компании - г. Магнитогорск Открыта вакансия ПРОГРАММИСТ 1С. РАССМАТРИВАЕМ РАЗЛИЧНЫЕ ВАРИАНТЫ СОТРУДНИЧЕСТВА! Обязанности: ​​​​​​Разработка на платформе 1С: предприятие 8.х Сопровождение конфигураций оперативного и бухгалтерского учета Требования: Опыт разработки/сопровождения - не менее 3-х лет Знания в предметных областях Сертификаты уровня 1С: Специалист приветствуются (учитываются при обсуждении уровня заработной платы) Готовность к обучению, профессиональному развитию Знание ГИС ""Меркурий"" приветствуется. ",не указано,3–6 лет,Программист 1С,,77222.2,39400.0,полный день,1С программирование,Полная занятость,https://tyumen.hh.ru/vacancy/39580294,27
39,Челябинск,НПО РТС,не указаны,14 октября 2020," Наша компания занимается разработкой, производством и обслуживанием аппаратуры систем посадки, навигации и управления воздушным движением. Обязанности: Поддержка текущих проектов; Разработка нового ПО; Работа с Gitlab; Работа со структурами проекта, добавление описаний и инструкций ; Требования: Знание языков программирования C++, JavaScript, Python, QML и библиотеки qt; Знания о системах управления версий (GIT); Приветствуются знания в разработке PLIS (VHDL или Verilog); Умение читать и понимать электрические принципиальные схемы устройств. Условия: Дружный коллектив, всегда рады новым, творческим людям; Офис в офисе в центре города; Профессиональный и личностный рост "," , , , , , , , ",1–3 года,Инженер-программист,,47000.0,42000.0,полный день,"Английский — A2 — Элементарный,Python,Git,Qt,C++",Полная занятость,https://tyumen.hh.ru/vacancy/39639658,15
42,Челябинск,Некстайп,не указаны,15 октября 2020," Мы — разработчики готовых решений на платформе 1С-Битрикс и просто крутая, маленькая веб-студия с багажом знаний по разработке и интернет-маркетингу. Нам 10 лет, каждый из которых мы показываем стабильный рост. Среди наших клиентов Nutricia, Heinz Baby, Coral Travel, Metro CC и ряд других, крупных, известных компаний. Ищем в команду начинающего backend разработчика . Научим его правильно и быстро разрабатывать приложения на PHP с использованием популярных фреймворков, в совершенстве владеть unix-подобными системами и составлять сложные SQL запросы. Все знания будем приправлять системами контроля версий, к примеру git. Если ты давно хотел программировать для веб, и понимаешь, что дорогу осилит идущий , скорее отправляй информацию о себе, нам на почту. Крайне желательно, чтобы кандидат четко отличал Backend от Frontend, хорошо владел HTML5 и умел пользоваться таблицами каскадных стилей. Плюсом будут знания JavaScript и PHP. И еще мы терпеть не можем нытиков, использующих глаголы “попробую”, “попытаюсь”, “постараюсь” в повседневной жизни, а всех остальных любим, ценим и дарим плюшки. Обязательное условие - прохождение тестового задания. ",не указано,не требуется,Начинающий PHP-программист,,35000.0,15000.0,полный день,"HTML5,PHP5,HTML,SQL,1С-Битрикс,Гибкость,Linux,PHP,CSS,Веб-программирование",Полная занятость,https://tyumen.hh.ru/vacancy/37520260,14
44,Магнитогорск,Спутник,не указаны,12 октября 2020," Программист Что делать: - архитектурное планирование - анализировать, писать код - развивать существующие продукты - обсуждать, тестировать гипотезы, планировать MVP - развивать свои навыки, подтягивать навыки других - предлагать и управлять воплощением собственных идей Что требуется: - высокая мотивация, острый Ум, чувство Юмора, умение быть командным игроком - хорошее знание Linux (CentOS, Archlinux), виртуализации (QEMU-KVM) - опыт активной разработки - знание С++, Python, Java*, СУБД (MySql, Postgres, Oracle.) - знание систем контроля версий (GIT, Bitbucket) - английский язык Pre-Intermediate для гугла и чтения man-ов Условия: - полная занятость, если студент обсудим гибкий график - з/п по навыкам и рынку, прогрессивно, в том числе выделением доли в бизнесе - поможем решить вопрос с проживанием, переездом - формируем эволюционную модель управления (бирюзовая организация) - обучим новым навыкам, умеешь что-то лучше нас, будем учиться у тебя Приветствуется: - понимание устройства сетей, основ динамической маршрутизации - опыт/личный интерес к Machine Learning и Computer Vision (OpenCV, TensorFlow) - быстрое погружение в языки программирования - опыт контроля стандартизации решений - умение давать объективную оценку задачи - английский C1 продвинутый - понимание CI/CD процесса - опыт разработки или интеграции решений в маркетинге, здравоохранении, финансах, ресторанном бизнесе или услугах Формируем лабораторию разработки в Челябинске в собственном приобретенном для этих целей помещении. В помещении будет также функционировать кафе-холл, бар, кибер-клуб (50 PC), лаунж-зона, /etc. Творческий процесс разработки будет происходить в отдельном просторном офисе на территории комплекса, на втором этаже. Вся сеть по комплексу — ВОСП 40/10G, Cisco, Mikrotik, для наглядной практики навыков администрирования сетей. Планируемый размер ядра команды 5-8 человек. ",не указано,не требуется,Программист,,175000.0,40000.0,полный день,"Творческое мышление,C++,Python,Linux,Git,СУБД,Cистемы управления базами данных",Полная занятость,https://tyumen.hh.ru/vacancy/39664674,17
47,Челябинск,Лаборатория системных технологий,"испытательный срок 3 мес.,постоянная работа в центре Челябинска,белая зарплата выше рынка",7 октября 2020, Обязанности: Программирование UI Создание анимаций и встраивание дизайна Программирование логики интерфейса с использованием MVC Разработка прототипов игр Требования: Опыт разработки Желание работать Условия: испытательный срок 3 мес. постоянная работа в центре Челябинска белая зарплата выше рынка ,не указано,1–3 года,Младший программист-разработчик,,70000.0,40000.0,полный день,"Английский — A1 — Начальный,Тестирование пользовательского интерфейса,Английский язык,JavaScript,MVC",Полная занятость,https://tyumen.hh.ru/vacancy/38870046,22
51,Челябинск,НПП Политех-Автоматика,не указаны,7 октября 2020," Обязанности: 1) Реализация веб-проекта ""под ключ"": выполнение функций архитектора, программиста-разработчика, в том числе frontend, backend, базы данных, настройка интеграции веб-проекта с различными системами (БД, брокеры сообщений, АСУТП и т.д). 2) Доработка уже существующего веб-проекта, его техническая поддержка (JavaScript, PHP, Oracle). 3) Администрирование веб-сервера Apache. Сфера разработки: Веб-приложения для промышленности, автоматизирующие работу с математико-статистическими моделями. Общий принцип работы веб-приложений: - ввод данных, необходимых для работы модели; - запуск математическо-статистической модели; - отображение результатов работы модели и сохранение в базу данных. Обязательные требования: 1) Опыт написания веб-сайтов с использованием Java (PHP) + JavaScript (HTML, CSS). 2) Опыт работы с СУБД, например PostgreSQL, MS SQL, Oracle, включая установку, настройку, разработку архитектуры базы (проект может быть небольшим). Можно в команде. 3) Опыт администрирования Linux и Windows. Установка и настройка Apache, odbc, запуск задач по расписанию. Дополнительные требования: 1) Опыт работы с NoSQL базами данных, интеграционными шинами, брокерами сообщений типа Kafka. 2) Опыт работы с OPC серверами, АСУТП предприятий. 3) Опыт использования Docker, Putty. 4) Технический английский. 5) Общее представление о статистике, машинном обучении, моделировании. Преимуществом будет: 1) Знание языков для статистической обработки данных (R или Python). 2) Опыт работы на промышленном предприятии. 3) Опыт совместной работы с другими программистами. 4) Опыт Git, DevOps. Оклад по результатам собеседования. ",не указано,1–3 года,Инженер-программист,,104166.7,72115.5,полный день,"Английский — B1 — Средний,Git,JavaScript,Python,PostgreSQL,Linux,MS SQL,Работа с базами данных,HTML,MySQL,PHP,PHP5,Математическое моделирование,R,Apache HTTP Server,Разработка ПО,Веб-программирование,Docker,Putty,АСУТП,DevOps,NoSQL,ORACLE,Kafka,Промышленность",Полная занятость,https://tyumen.hh.ru/vacancy/39670683,22
57,Магнитогорск,Благотворительный Фонд Металлург,не указаны,13 октября 2020," Обязанности: Разработка и сопровождение конфигурации на платформе 1С Предприятие 7.7, 8.3 Сопровождение пользователей. Требования: Высшее профессиональное образование, опыт работы не менее года. Условия: Пятидневная рабочая неделя вых суб. Полный соц. пакет ",не указано,1–3 года,Программист,,25000.0,24000.0,полный день,"1С: Предприятие 8,1С: Предприятие,1С программирование",Полная занятость,https://tyumen.hh.ru/vacancy/39778317,16
