,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url,count_day
14,Магнитогорск,ГБУЗ Областной Онкологический Диспансер №2,не указаны,24 сентября 2020," Обязанности: согласно должностной инструкции Требования: высшее образование – бакалавриат или среднее-профессиональное образование программы подготовки специалистов среднего звена или дополнительное профессиональное образование - программы повышения квалификации, программы профессиональной переподготовки в области компьютерных и телекоммуникационных технологий; - не менее одного года работы в области технической поддержки, администрирования, программирования устройств инфокоммуникационных систем при среднем профессиональном (техническом) образовании Условия: - пятидневная рабочая неделя; - полный социальный пакет; ​​​​​​​ ",не указано,не требуется,Системный администратор,,25000.0,30000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39426845,35
22,Челябинск,Максимал,не указаны,7 октября 2020," Обязанности: администрирование серверов на базе Linux (CentOS/Debian) решение проблем, с которыми не справляется Level-1 support реагирование на всевозможные проблемы, на которые ругается мониторинг Требования: опыт работы с KVM/Xen и OpenVZ умение уверенно конфигурировать Apache/Nginx/Exim/Postfix/PHP скриптинг на bash/sh (а на Perl/Python — вообще сразу 5 плюсов в карму) Условия: подтвержденный официально стаж, гарантия занятости в развивающейся компании; гибкий график работы (плавающее начало рабочего дня); крутой офис, постоянный контакт с командой, приятная рабочая атмосфера; стабильная заработная плата (2 раза в месяц); бесплатные обеды в офисе, буфет с чаем/кофе/газировкой и печенками; богатая корпоративная жизнь (корпоративные мероприятия); возможна работа удаленно. ",не указано,1–3 года,Системный администратор Linux,,39416.7,60000.0,удаленная работа,"Nginx,Bash,Администрирование серверов Linux,CentOS,Linux",Полная занятость,https://tyumen.hh.ru/vacancy/39678021,22
34,Челябинск,"Варяг, Холдинг предприятий безопасности","официальное трудоустройство;,стабильная заработная плата;,график работы 5/2;,интересные задачи, возможность самореализации;,внутрикорпоративное обучение и развитие;,развитая корпоративная культура;,скидки на услуги компании.",13 октября 2020," «Варяг – технологии безопасности» – современный, стремительно развивающийся холдинг предприятий, разрабатывающих инновационные решения в области безопасности. Продуктами компании являются системы мониторинга и защиты имущества, инженерно-технические средства безопасности, услуги пультовой и физической охраны, а также образовательные услуги спецподготовки персонала. Пользователи продуктов и услуг под брендами компании - это более 20 000 клиентов на территории Уральского Федерального округа, от физических лиц и малого бизнеса до крупнейших федеральных и государственных компаний. В нынешних условиях пандемии, когда все сокращают штат и заработную плату, «Варяг» продолжает набор квалифицированных сотрудников. Открываем набор на позицию «Системный администратор» и предлагаем Вам стать частью нашей дружной и боевой команды! Обязанности: обслуживание всех ПК Холдинга, устранение неисправностей и наладка; обслуживание и ремонт орг.техники, заправка и наладка картриджей; обслуживание активного сетевого оборудования Mikrotik, D-link, HP, сетевых коммуникаций; диагностика и мелкий ремонт It-оборудования; обслуживание пультового оборудования; организация бесперебойной работы серверной; организация сохранности базы данных Холдинга по различным отделам. Требования: среднее профессиональное (сфера вычислительной техники), высшее (инженерное); опыт работы от 1 года в аналогичной должности; опыт наладки ПК, орг.техники, IP мини-АТС; знание операционных систем и офисных программных продуктов на уровне системного администратора; опыт работы с активным сетевым оборудованием маршрутизаторы Mikrotik, управляемые коммутаторы, голосовые шлюзы, IP телефония. Условия: официальное трудоустройство; стабильная заработная плата; график работы 5/2; интересные задачи, возможность самореализации; внутрикорпоративное обучение и развитие; развитая корпоративная культура; скидки на услуги компании. Возможно Вы – тот‚ кого мы ищем! Высылайте нам свое резюме и мы рассмотрим его в течение 3 дней. Если Ваш опыт и пожелания соответствуют требованиям и возможностям компании - мы свяжемся с Вами по указанным контактам. "," , , , , , , , , , , , , , ",1–3 года,Системный администратор," , , , , , , , , , ",40000.0,35000.0,полный день,"Администрирование,Внутренние коммуникации,Техническое обслуживание,Windows 7,Cистемы управления базами данных",Полная занятость,https://tyumen.hh.ru/vacancy/39582229,16
78,Челябинск,Группа ЭНЕРГОПРОМ,не указаны,15 октября 2020," Обязанности: Обслуживание компьютеров (230 ед.) и офисной техники (HP, Kyocera, Canon); Техническая поддержка пользователей на основе заявок (Helpdesk); Контроль истечение сроков и обновление сертификатов ЭЦП (ЭДО Диадок, СБИС и т.п.); Настройка и обслуживание корпоративной сети на базе оборудования Mikrotik (VLAN); Настройка системы IP-видеонаблюдения на базе видесерверов Domination; Администрирование серверов Microsoft Windows Server (AD, GPO, RDP), VMware ESXi 6.7, FreeNAS, Zabbix, MSSQL Server; Резервное копирование (Veeam, Acronis); Надлежащее введение нормативно-технической документации/электронных справочников в соответствии с действующими регламентами в области информационной безопасности (реестр комп.техники, заявки на подключение к инфоресурсам и т.п); Своевременное составление заявок на приобретение расходников, запчастей, комплектующих. Требования: Высшее профессиональное (техническое) образование и стаж работы не менее 3 лет Должен: - Знать сетевые технологии; - Уметь работать с ActiveDirectory (управление пользователями, правами, групповыми политиками). - Обеспечить безопасности локальной сети предприятия. - Диагностировать и выявлять программные и аппаратные неисправности. - Выполнять ремонт и настройку компьютерного оборудования. - Иметь опыт работы с СУБД MS SQL Server 2008. - Проводить настройку и управление программами удалённого доступа. - Производить монтаж ЛВС. - Знать почтовый сервис Exchange (обязательно) и офисное программное обеспечение: офисные приложения, правовые системы, клиент-банк, 1С и др. - Консультировать пользователей по работе с оборудованием и программным обеспечением. Условия: • Работа в перспективном инновационном бизнесе углеграфитовых изделий; • Оформление по ТК РФ (оплата больничных, отпуска, командировок); • Стабильная заработная плата, уровень обговаривается с успешным кандидатом индивидуально; • Рабочее место: Челябинск, ул. Мраморная, д. 16 (ЧМЗ). ","Обслуживание компьютеров (230 ед.) и офисной техники (HP, Kyocera, Canon);,Техническая поддержка пользователей на основе заявок (Helpdesk);,Контроль истечение сроков и обновление сертификатов ЭЦП (ЭДО Диадок, СБИС и т.п.);,Настройка и обслуживание корпоративной сети на базе оборудования Mikrotik (VLAN);,Настройка системы IP-видеонаблюдения на базе видесерверов Domination;,Администрирование серверов Microsoft Windows Server (AD, GPO, RDP), VMware ESXi 6.7, FreeNAS, Zabbix, MSSQL Server;,Резервное копирование (Veeam, Acronis);,Надлежащее введение нормативно-технической документации/электронных справочников в соответствии с действующими регламентами в области информационной безопасности (реестр комп.техники, заявки на подключение к инфоресурсам и т.п);,Своевременное составление заявок на приобретение расходников, запчастей, комплектующих.",3–6 лет,Системный администратор,,39416.7,38000.0,полный день,"Active Directory,Администрирование серверов Windows,Настройка сетевых подключений,DHCP,Windows Server 2003",Полная занятость,https://tyumen.hh.ru/vacancy/39432604,14
106,Магнитогорск,Магнитогорский металлургический комбинат,не указаны,29 сентября 2020," Обязанности: Администрировать Microsoft Exchange 2013/2019(Office365, Exchange Online); Администрировать Microsoft SfB; Автоматизировать процессы на powershell; Администрировать Windows Servers (2008/2016/2019); Сопровождать системы клиент-банк; Работа с обращениями пользователей. Требования: высшее образование в сфере информационных технологий, программирования, информатики или АСУ; опыт работы в сфере системного администрирования от 3-х лет; уверенные знания серверных технологий Microsoft (Windows Server, AD, Exchange, DNS, GP); обязательно знание операционных систем рабочих станций семейства Windows 7,8,10 на уровне уверенного пользователя; целеустремленность и умение доводить начатое до конца; знание английского языка на уровне чтения технической и профильной документации. Ждем, что у вас есть: опыт работы с виртуализацией VMware; опыт работы с оборудованием HPE; навыки в программировании, написании алгоритмов, запросов к БД. Личностные характеристики: Высокая степень обучаемости; Готовность развиваться; Системный подход; Нацеленность на результат. Условия: корпоративное обучение; регулярное повышение квалификации за счет работодателя; официальное оформление по ТК РФ; комфортные условия труда в современном офисе; достойный уровень дохода, в зависимости от квалификации. Окончательный уровень заработной платы устанавливается по результатам собеседования в зависимости от опыта и квалификации. ",не указано,3–6 лет,Системный администратор (ММК-Информсервис),,25000.0,40000.0,полный день,Информационные технологии,Полная занятость,https://tyumen.hh.ru/vacancy/39525008,30
147,Еманжелинск,Михеевский горно-обогатительный комбинат,не указаны,22 сентября 2020," Знания/навыки: Уверенный пользователь ОС Windows 7/8/10; Уверенный пользователь офисного пакета MS Office 2013/2016; Понимание работы клиент-серверных приложение; Понимание принципов работы 1С Обязанности: Организовывает и проводит мероприятия по обучению и повышению квалификации пользователей при работе с информационными системами. Консультирует и поддерживает пользователей структурных подразделений, по работе с информационными системами 1С (бухгалтерский учет, отчетность, работа в программных продуктах фирмы «1С», 1С:ERP, 1С ЗУП и др. Принимает участие в разработке и внедрении Автоматизированных Информационных Систем. Разрабатывает инструкции по работе с информационными системами 1С; Проводит администрирование прав доступа к информационной системе (создание учетных записей пользователей, распределение ролей и прав доступа); Проводит работы по настройке обменов с внешними программами в автоматическом и ручном режиме; Проводит мероприятия по оптимизации работы базы данных 1С (поиск и исправление ошибок в данных, пересчёт итогов и восстановление последовательностей, чистка, тестирование и исправление баз). Требования: Высшее профессиональное образование/среднее профессиональное образование стаж работы по специальности от 1 до 3 года Условия: Пятидневная рабочая неделя 09:00 -18:00 Место работы Челябинская область, Варненский район, п. Красноармейский, Промышленная зона "," , , , , , , , ,Проводит администрирование прав доступа к информационной системе (создание учетных записей пользователей, распределение ролей и прав доступа);,Проводит работы по настройке обменов с внешними программами в автоматическом и ручном режиме;,Проводит мероприятия по оптимизации работы базы данных 1С (поиск и исправление ошибок в данных, пересчёт итогов и восстановление последовательностей, чистка, тестирование и исправление баз).",1–3 года,Системный администратор,,,38000.0,полный день,"Borland Delphi,1С: Управление предприятием,1С: Предприятие 8,1С: Предприятие",Полная занятость,https://tyumen.hh.ru/vacancy/39370567,37
156,село Варна,Михеевский горно-обогатительный комбинат,не указаны,22 сентября 2020," Знания/навыки: Уверенный пользователь ОС Windows 7/8/10; Уверенный пользователь офисного пакета MS Office 2013/2016; Понимание работы клиент-серверных приложение; Понимание принципов работы 1С Обязанности: Организовывает и проводит мероприятия по обучению и повышению квалификации пользователей при работе с информационными системами. Консультирует и поддерживает пользователей структурных подразделений, по работе с информационными системами 1С (бухгалтерский учет, отчетность, работа в программных продуктах фирмы «1С», 1С:ERP, 1С ЗУП и др. Принимает участие в разработке и внедрении Автоматизированных Информационных Систем. Разрабатывает инструкции по работе с информационными системами 1С; Проводит администрирование прав доступа к информационной системе (создание учетных записей пользователей, распределение ролей и прав доступа); Проводит работы по настройке обменов с внешними программами в автоматическом и ручном режиме; Проводит мероприятия по оптимизации работы базы данных 1С (поиск и исправление ошибок в данных, пересчёт итогов и восстановление последовательностей, чистка, тестирование и исправление баз). Требования: Высшее профессиональное образование/среднее профессиональное образование стаж работы по специальности от 1 до 3 года Условия: Пятидневная рабочая неделя 09:00 -18:00 Место работы Челябинская область, Варненский район, п. Красноармейский, Промышленная зона "," , , , , , , , ,Проводит администрирование прав доступа к информационной системе (создание учетных записей пользователей, распределение ролей и прав доступа);,Проводит работы по настройке обменов с внешними программами в автоматическом и ручном режиме;,Проводит мероприятия по оптимизации работы базы данных 1С (поиск и исправление ошибок в данных, пересчёт итогов и восстановление последовательностей, чистка, тестирование и исправление баз).",1–3 года,Системный администратор,,,38000.0,полный день,"Borland Delphi,1С: Управление предприятием,1С: Предприятие 8,1С: Предприятие",Полная занятость,https://tyumen.hh.ru/vacancy/39370463,37
164,Магнитогорск,"Регинас,автокомплекс",не указаны,21 сентября 2020," Обязанности: Обслуживание: Компьютерной техники, принтеров, МФУ, локальных вычислительных сетей. Проектирование, прокладка и обслуживание СКС. Настройка сканеров штрих кодов и онлайн касс. Работа с оборудованием Microtik Требование: Знание оперционных систем WinServer2003-2016, Win7-10, виртуальной среды VMWare, опыт работы с АТС Asterisk, AVAYA, Настройка ПК, МФУ, сканеров, активного сетевого оборудочания ( коммутаторы, точки доступа WiFi), ПО и оборудования дистрибьюторов.. Условия: ​​​​​​​Трудоустройство согласно ТК РФ. ",не указано,1–3 года,Системный администратор,,25000.0,33250.0,сменный график,"Настройка ПК,Настройка сетевых подключений,Настройка ПО,Ремонт ПК,Сборка ПК",Полная занятость,https://tyumen.hh.ru/vacancy/39340892,38
188,Челябинск,АВАНГРАД-УРАЛ,не указаны,14 октября 2020," Что должен уметь делать: Умение выслушать сотрудника с проблемой, и решить ее в максимально короткий срок. Администрирование VMware ESXi 6.5 (на котором 10 ВМ), бекап с него делается Veeam Backup. Администрирование Win2008 на уровне прав пользователей и RDP (AD, DNS, VPN - нету). Администрирование 1С 8.3 на уровне конфигурации (Установить, Обновить, Продвинутый пользователь) - сейчас она Файловая, но возможно придем к SQL. Обновление сертификатов подписи для ЭДО (КриптоПро, СБИС, Контур). Администрирование IP АТС FreePBX 12/14 на уровне ""поковыряться в конфигах"" для нестандартных решений (50 транков от 7 разных операторов, 60 IP телефонов, GoIP шлюз, 2 GSM модема). Настройка сетевого оборудования Mikrotik (VPN, NAT, фаервол). Настройка системы IP видеонаблюдения Tantos, Hikvision. Все выше перечисленное необходимо знать на уровне ""развернуть с нуля"". Администрирование CRM Битрикс24 (облако)(интеграции, отчеты, пользователи) - настроена интеграция с Asterisk и ВАТС Мегафон. Работа с Мегафон ВАТС, и претензиями на ее качество. Обслуживание парка ПК 20шт в Челябинске, еще 40шт удаленно в других регионах. Все железо Новое (Core i3, 4/8Gb, SSD, 22"" IPS). Настройка и обслуживание 60 IP телефонов Yealink, 13шт из которых в Челябинске. Обслуживание МФУ HP, Kayocera, Canon на уровне вызвать заправщика картриджей, заменить картридж, почистить, устранить проблему если ее возможно решить в офисе. О нас Компания занимается оптоворозничной торговлей отделочными материалами, в частности Подвесные потолки. На рынке более 10 лет. 3 года назад переехали в новый большой офис, чистый, светлый, с кондиционерами. В Челябинске у нас головной офис, а так же 7 небольших офисов в других городах РФ (начинаю с Юга и заканчиваю Сибирью). Работаем пятидневку с 9-18 часов, по адресу ул. Чайковского, д. 169 (2 этаж) Ищем сотрудника в штат на полный рабочий день. ",не указано,1–3 года,Системный администратор (it-специалист),,39416.7,40000.0,полный день,"Asterisk,VMware,VMware ESXi,FreePBX,Администрирование серверов Windows,Обучение персонала,Битрикс24",Полная занятость,https://tyumen.hh.ru/vacancy/39297873,15
201,Челябинск,Сетера,не указаны,7 октября 2020," Обязанности: <ol> Поддержание в рабочем состоянии и администрирование серверного и сетевого оборудования Администрирование корпоративного ПО (в т.ч. специализированного и нестандартного) Администрирование Web-систем и сайтов Поддержка IP-телефонии. Поддержка систем видеонаблюдения и СКУД. Обеспечение информационной безопасности Помощь техническим специалистам (техникам) в решении сложных и нестандартных задач Взаимодействие с провайдерами различных ИТ-услуг, подбор и закуп оборудования Ведение инвентаризационных списков техники обслуживаемых организаций (состав, техническое состояние), составление планов обновления и модернизации оборудования Участие в разработке и реализации ИТ-проектов (монтажи СКС, развертывание оборудования, внедрение ПО и пр.) </ol> Требования: Высшее образование (техническое или в сфере ИТ) Приветствуются специализированные курсы в сфере поддержки применяемого на предприятии ИТ оборудования и ПО Знания: Microsoft Windows (серверные и клиентские платформы) Виртуализация на базе Hyper-V и VMware. Microsoft Active Directory. Microsoft Exchange Server. Microsoft SQL-Server. IP-телефония на базе Asterisk. Администрирование платформы 1С Умения и навыки: Знание компьютерного и серверного «железа», умение собирать, настраивать различное оборудование. Профессиональные знания технологий Microsoft, умение настраивать серверы «с нуля», а также разбираться с возникающими ошибками. Желателен опыт работы с отказоустойчивыми кластерами и системами хранения данных среднего уровня, а также с системами на базе VMWare Практические навыки работы с SQL-Server Знание принципов работы основных сетевых протоколов всех уровней. Умение настраивать гетерогенные распределенные сети, а также VLAN, STP, OSPF, QoS, IPSec VPN и пр. на оборудовании различных производителей (в основном CISCO, D-Link, NetGear, Microtik) Знание принципов работы IP-телефонии и практические навыки ее настройки на базе Asterisk Желательно знакомство с IP-телефонией на базе Oktell и Yeastar, а также умение настраивать аналоговые АТС уровня Panasonic TDA-100/200 Знания среднего уровня в области ОС на базе Linux. Умение поднять Linux-сервер «с нуля» и настроить на нем базовые сервисы. Обеспечить работу нескольких Web-сайтов и систем на сервере Умение настраивать и контролировать FireWall, IPSec. системы контроля и безопасности на операционных системах (Windows, Linux) и оборудовании (CISCO, D-Link) Навыки работы и централизованного администрирования Kaspersky Internet Security (рабочие станции, сервера, почтовые службы). Опыт работ с Microsoft Exchange Server 2010, 2013 и выше Опыт работы с программными системами резервного копирования (Veeam, Acronis). Умение и желание при необходимости работать «руками» Знание английского языка на уровне чтения и понимания технической документации, а также письменного общения со службами технической поддержки Условия: Оклад 45 000 руб. на руки. Оклад на испытательный срок – 40 000 руб. на руки. Оплата проезда и сотовой связи. ДМС. Доплаты за сверхурочную работу и участие в ИТ-проектах. Компания предоставляет бесплатно обед, чай, кофе. Пятидневная рабочая неделя: с 8:30 до 17:30. При проведении регламентных работ и в аварийных ситуациях – дополнительно в нерабочее время по ситуации Выезды в пределах г. Челябинска по местам расположения оборудования при необходимости. Командировки в г. Чебаркуль. ","Высшее образование (техническое или в сфере ИТ),Приветствуются специализированные курсы в сфере поддержки применяемого на предприятии ИТ оборудования и ПО,Знания: Microsoft Windows (серверные и клиентские платформы),Виртуализация на базе Hyper-V и VMware. Microsoft Active Directory. Microsoft Exchange Server. Microsoft SQL-Server. IP-телефония на базе Asterisk.,Администрирование платформы 1С,Умения и навыки: Знание компьютерного и серверного «железа», умение собирать, настраивать различное оборудование. Профессиональные знания технологий Microsoft, умение настраивать серверы «с нуля», а также разбираться с возникающими ошибками. Желателен опыт работы с отказоустойчивыми кластерами и системами хранения данных среднего уровня, а также с системами на базе VMWare,Практические навыки работы с SQL-Server,Знание принципов работы основных сетевых протоколов всех уровней. Умение настраивать гетерогенные распределенные сети, а также VLAN, STP, OSPF, QoS, IPSec VPN и пр. на оборудовании различных производителей (в основном CISCO, D-Link, NetGear, Microtik),Знание принципов работы IP-телефонии и практические навыки ее настройки на базе Asterisk,Желательно знакомство с IP-телефонией на базе Oktell и Yeastar, а также умение настраивать аналоговые АТС уровня Panasonic TDA-100/200,Знания среднего уровня в области ОС на базе Linux. Умение поднять Linux-сервер «с нуля» и настроить на нем базовые сервисы. Обеспечить работу нескольких Web-сайтов и систем на сервере,Умение настраивать и контролировать FireWall, IPSec. системы контроля и безопасности на операционных системах (Windows, Linux) и оборудовании (CISCO, D-Link),Навыки работы и централизованного администрирования Kaspersky Internet Security (рабочие станции, сервера, почтовые службы). Опыт работ с Microsoft Exchange Server 2010, 2013 и выше,Опыт работы с программными системами резервного копирования (Veeam, Acronis).,Умение и желание при необходимости работать «руками»,Знание английского языка на уровне чтения и понимания технической документации, а также письменного общения со службами технической поддержки",3–6 лет,Ведущий системный администратор,,45000.0,45000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/36156207,22
