,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url,count_day
21,Челябинск,ЭННЕРЛИНК,не указаны,5 октября 2020," Специалист 1С. Ты сможешь стать частью нашей команды, если: имеешь среднее специальное образование; обладаешь знаниями программ: типовой конфигурации 1C Предприятие - БП, УТ, РТ, а также OC Windows и MS Office;. В случае небольшого опыта работы с 1С, возможно обучение. Твоими основными задачами в нашей компании будут: прием звонков, регистрация и выполнение заявок от пользователей; Поддержка 1С Предприятие (обучение); направление вопросов на специалистов отдела разработки ПО и отслеживание сроков выполнения. Мы предлагаем: пятидневная рабочая неделя; официально оформляем по ТК РФ; конкурентная заработная плата. Своевременная выплата 2 раза в месяц. Уровень заработной платы обсуждается с успешным кандидатом на собеседовании; постоянная (не сезонная) занятость круглый год; Если ты уверен в себе, имеешь здоровую амбициозность, потенциал и нацеленность на результат - Добро пожаловать в нашу команду! Требования: Работа в команде Ориентация на результат Знание основ 1С Предприятие Опыт работы от 1 года Деловое общение Грамотная речь Ведение переговоров Пользователь ПК Работа в режиме многозадачности ",не указано,1–3 года,Специалист 1С,"Работа в команде,Ориентация на результат,Знание основ 1С Предприятие,Опыт работы от 1 года,Деловое общение,Грамотная речь,Ведение переговоров,Пользователь ПК,Работа в режиме многозадачности",45000.0,35000.0,полный день,"Работа в команде,Ориентация на результат,1С: Предприятие,Работа с большим объемом информации,Деловое общение,Грамотная речь,Ведение переговоров,Пользователь ПК",Полная занятость,https://tyumen.hh.ru/vacancy/39634495,24
53,"г.Челябинск, ул. Курчатова,6",НОВАТЭК,не указаны,15 октября 2020," Хотите работать в стабильной, успешно развивающейся компании? Вам нравится общение с людьми? Вы энергичны и доброжелательны? Значит Вы именно тот кандидат, которого мы ищем! Наша компания занимается розничной реализацией топлива через сеть заправочных станций. Мы предлагаем: Работу в престижной компании. Широкие возможности для раскрытия собственного потенциала и карьерного роста. Официальное трудоустройство, стабильную заработную плату, премии. Каждый год проводится индексация заработной платы; Социальные гарантии: добровольное медицинское страхование, компенсация детского отдыха детей, частичная компенсация спортивных занятий, помощь семьям воспитывающих детей-инвалидов, новогодние подарки детям сотрудников; пенсионная программа для работников Компании и др.; Ваши обязанности: Формирование технических заданий на проектирование криогенных заправочных комплексов различного исполнения (мобильные, модульные, стационарные) в части технологического оборудования; Рассмотрение проектной документации в части технологии (разделы ТХ, АТХ, ИОС, АР); Формирование технических заданий на закупку основного и вспомогательного технологического оборудования (насосное, емкостное, теплообменное и пр.); Заключение договоров на поставку оборудования, контроль исполнения договорных обязательств; Сопровождение разработки и изготовления оборудования (насосное, компрессорное, емкостное оборудование) в части соблюдения требований ТЗ и применения современных мировых технологий; Разработка программ и методик испытаний, участие в шеф-монтажных и пусконаладочных работах; Приемка оборудования, эксплуатационной и разрешительной документации на поставляемое оборудование в части технологии; Разработка нормативных документов, инструкций по эксплуатации и обслуживанию технологического оборудования. Сопровождение эксплуатации технологического оборудования (разработка перечней ЗИП и технологических карт операций); Участие в инвентаризациях и проведение расчетов списания технологических потерь; Участие в комиссиях по поиску и анализу причин выхода из строя технологического оборудования. Требования: Высшее профессиональное образование ; Знание нормативной документации ЕСКД, ГОСТ, ФНП, ТР ТС и пр.; Опыт проведения приемки сложного технологического оборудования; Опыт выполнения привязки технологического оборудования к объектам эксплуатации в рамках строительства или ТПР; Опыт отладки технологического оборудования; Опыт подготовки производственных инструкций; Опыт самостоятельного проектирования; Стрессоустойчивость, внимательность и коммуникабельность. ",не указано,более 6 лет,Главный специалист по проектированию,"Высшее профессиональное образование ;,Знание нормативной документации ЕСКД, ГОСТ, ФНП, ТР ТС и пр.;,Опыт проведения приемки сложного технологического оборудования;,Опыт выполнения привязки технологического оборудования к объектам эксплуатации в рамках строительства или ТПР;,Опыт отладки технологического оборудования;,Опыт подготовки производственных инструкций;,Опыт самостоятельного проектирования;,Стрессоустойчивость, внимательность и коммуникабельность.",,,полный день,"Техническая эксплуатация,технологические карты,Техническое обслуживание,Контроль исправности оборудования,конструирование",Полная занятость,https://tyumen.hh.ru/vacancy/39843250,14
56,Миасс,Нефть-Сервис,"Оформление по ТК РФ;,Реальные перспективы профессионального развития и карьерного роста;,Дружный коллектив единомышленников, который всегда поможет вам в решении всех поставленных задач,Участие в перспективных проектах",26 сентября 2020," Компания ООО «Нефть-Сервис» 20 лет является надежным поставщиком оборудования для крупнейших нефтегазовых компаний России и СНГ и входит в тройку ведущих игроков подсегмента российского нефтесервисного рынка. Производство сборочных, монтажных и электромонтажных работ аппаратуры специального назначения Обязанности: - ОБЯЗАТЕЛЕН ОПЫТ С НОРМАТИВНО-СПРАВОЧНОЙ документацией!!! - Сопровождение справочников информационных систем предприятия; - Мониторинг и анализ качества НСИ в части выявления некорректных записей в справочниках (дубли, ошибки), устранение выявленных ошибок; - Составление и актуализация спецификаций на основании КД в базу 1С; - Формирование архива спецификаций; - Подготовка и занесение данных для внесения изменений в справочник базы 1С; - Взаимодействие со всеми структурными подразделениями предприятия, в части спецификаций; - Заведение новых названий номенклатур с присвоением номенклатурных номеров и ID с проведение синхронизации номенклатур баз 1С; - Структурирование НСИ данных. Классификация и каталогизация данных, анализ и систематизация информации, работа с электронными справочниками; -Участие в постановке технических заданий IT-специалиста Требования: - Опыт работы на профильных предприятиях. Соблюдение конфиденциальности , осторожность и аккуратность при работе с документами. - Умение анализировать качество нормативно-справочной информации; - Аналитическое мышление, умение работать с большими объемами технической информации. - Знание ПК и офисного ПО на уровне опытного пользователя (Excel, Word), 1С УПП. Знание 1С УПП является обязательным!!! Условия: Оформление по ТК РФ; Реальные перспективы профессионального развития и карьерного роста; Дружный коллектив единомышленников, который всегда поможет вам в решении всех поставленных задач Участие в перспективных проектах ","Оформление по ТК РФ;,Реальные перспективы профессионального развития и карьерного роста;,Дружный коллектив единомышленников, который всегда поможет вам в решении всех поставленных задач,Участие в перспективных проектах",1–3 года,Специалист Нормативно-справочной информации,"Оформление по ТК РФ;,Реальные перспективы профессионального развития и карьерного роста;,Дружный коллектив единомышленников, который всегда поможет вам в решении всех поставленных задач,Участие в перспективных проектах",,30000.0,полный день,"Анализ данных,1С: Управление Производственным Предприятием,Работа с большим объемом информации,Базы данных,Точность и внимательность к деталям,Работа в команде",Полная занятость,https://tyumen.hh.ru/vacancy/38860373,33
58,Челябинск,ЦентрПроф,"удаленная работа на дому, график 2/2 (дневные или ночные смены);,дистанционное оплачиваемое обучение;,официальное трудоустройство;,конкурентная заработная плата, возможность влиять на свой доход;,отличная команда руководителей и наставников;,возможность карьерного роста и развития.",7 октября 2020," Мы являемся официальными партнерами Яндекс.Такси. В поддержку каждый день пишут тысячи пользователей и водителей. Они задают вопросы, просят помочь, делятся идеями, как улучшить сервис. Мы ищем в большую и дружную команду человека, который станет поддерживать пользователей и водителей и помогать им. Вам предстоит: быстро отвечать на обращения; работать с пользователями, таксопарками и водителями; развивать процессы и инструменты, улучшающие качество Яндекс.Такси. Мы ждем, что вы: грамотная письменная и устная речь; умеете параллельно решать разноплановые задачи; способны работать в команде; способны принимать решения самостоятельно. Условия: удаленная работа на дому, график 2/2 (дневные или ночные смены); дистанционное оплачиваемое обучение; официальное трудоустройство; конкурентная заработная плата, возможность влиять на свой доход; отличная команда руководителей и наставников; возможность карьерного роста и развития. ",не указано,не требуется,Специалист службы поддержки (удаленно),,40000.0,22000.0,удаленная работа,"Английский — A1 — Начальный,Грамотная речь,Обучение и развитие,Грамотность",Полная занятость,https://tyumen.hh.ru/vacancy/39686045,22
59,Челябинск,Сатурн-2,не указаны,9 октября 2020," Обязанности: Консультация пользователей Корректировка документов Построение отчетов Изменение печатных форм Фиксирование задач и адресация на исполнителей Требования: Базовый опыт работы в 1С Условия: Оплата на испытательный срок от 30 000 руб. Обучение сотрудников как внутреннее, так и внешнее. График работы на испытательном сроке 5/2 . После прохождения обучения 2/2. Работа в среде профессионалов своего дела, способных передавать опыт, обучать новых сотрудников специфике работы и способных сотрудничать с компетентными специалистами. Дружный коллектив. Скидки сотрудникам на приобретение автомобилей и техническое обслуживание. Посещение бассейна и спортзала за счет компании – приятный бонус всем сотрудникам! Бесплатная парковка для сотрудников. ",не указано,не требуется,Специалист техподдержки / 1с программист( стажер),,37873.1,30000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/38805062,20
67,Копейск,Яндекс,не указаны,6 октября 2020," Каждый день миллионы пользователей находят ответы на свои вопросы с помощью Яндекса. Но иногда что-то идёт не так, и на помощь приходит служба поддержки. Мы ищем внимательных, тактичных и любознательных специалистов в нашу команду поддержки мобильных геосервисов, Карт и Справочника. Карты помогут найти нужную организацию или адрес, построить к ним маршрут на автомобиле, на общественном транспорте, даже на велосипеде или пешком и дадут возможность ознакомиться с местностью с помощью панорам или спутниковых снимков. С помощью Карт можно получить информацию о пробках на дорогах, о дорожных событиях и о парковках, там можно сохранить список любимых мест. Мобильные геосервисы не нуждаются в представлении: Навигатор, Карты, Транспорт и Метро есть почти в каждом смартфоне. Справочник (кабинет бизнеса) не только позволяет разместить организацию на сервисах Яндекса, но и помогает владельцу бизнеса продвигать его. Роль службы поддержки — находить ответы на все вопросы, советовать, помогать, разрешать проблемы, с которыми могут столкнуться наши пользователи. Вам предстоит: отвечать на сообщения пользователей по почте и в чатах; консультировать их по разным вопросам, связанным с Яндексом; передавать информацию разработчикам и менеджерам, чтобы сделать наши сервисы лучше; иногда решать новые интересные задачи — мы постоянно растём и меняемся! Мы ждем, что вы: отлично владеете русским языком; любите людей и хотите им помогать; самостоятельно и ответственно подходите к решению задач; готовы к интенсивному самостоятельному обучению; не устаёте от однообразной работы; аккуратны, усидчивы, ответственны; имеете высшее, незаконченное высшее или среднее специальное образование (техническое будет отдельным плюсом). Что мы предлагаем: работу из дома; скользящий график 5/2 (суббота и воскресенье — рабочие дни) с фиксированными сменами, от 20 рабочих часов в неделю; сдельную оплату (это значит, что её размер зависит от количества и сложности задач, которые вы выполните в течение месяца); удалённое оплачиваемое обучение. «Вакансия открыта в рамках проекта по интеграции людей с инвалидностью в общественную жизнь и в целях соблюдения требований ст.21 Федерального закона ""О социальной защите инвалидов"".» ",не указано,не требуется,Специалист в службу поддержки геосервисов,,,30000.0,удаленная работа,,Частичная занятость,https://tyumen.hh.ru/vacancy/39649123,23
71,Челябинск,"ГРЧЦ, ФГУП",не указаны,5 октября 2020," Обязанности: ежедневный мониторинг СМИ и СМК на предмет выявления признаков нарушений законодательства РФ в сфере СМИ и СМК; первичная оценка различной информационной продукции на соответствие требованиям законодательства РФ; подготовка и формирование тематических и статистических отчетов по направлению работы; поиск информации в открытых и закрытых источниках и поисковых системах. Требования: высшее образование: журналистика, связи с общественностью, филология, политология; компьютерная грамотность на уровне продвинутого пользователя, свободное владение офисным пакетом; знание нормативно-правовых актов, регулирующих деятельность в сфере СМИ и СМК; высокие навыки письма и редактирования текстов, отличное знание русского языка; умение работать с большими объемами информации; умение работать в режиме многозадачности и жестких сроков; умение работать в команде; владение инструментарием основных соцсетей и мессенджеров; ответственность, внимательность, пунктуальность, исполнительность. Условия: График работы 5/2 с 08.30 до 17.30‚ пятница до 16.15. Соблюдение Трудового кодекса Российской Федерации. Социальный пакет (мат. помощь к отпуску‚ ДМС). Срочный трудовой договор (на период отсутствия основного работника) ",не указано,1–3 года,Специалист группы мониторинга средств массовых коммуникаций,,42000.0,42000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39097963,24
72,"Челябинск, Радонежская улица, 5",Винная группа Ариант,не указаны,15 октября 2020," Винная Группа «Ариант» - лидер российского виноделия. Одно из крупнейших предприятий виноградарства и виноделия. В состав винной группы «Ариант» входят четыре компании: агрофирма «Южная», винодельня «Кубань-Вино», центр пищевой индустрии «Ариант» и центр энологии «Шато Тамань». Рабочее место находится в г.Челябинск Обязанности: Обучение новых пользователей работе в системе 1С:Документооборот Консультирование и поддержка пользователей; Разработка новых видов и унификация существующих бланков документов (в соответствии с ГОСТ Р 7.0.97-2016); Согласование проектов документов; Разработка и тестирование маршрутов (согласование, исполнение, утверждение и пр.) движения документов в системе. Требования: Знание принципов работы системы электронного документооборота; Знание делопроизводства; Аналитический склад ума; Умение работать в режиме многозадачности. Условия: Работа в крупной, стабильной компании в команде профессионалов; Официальное трудоустройство; Пятидневная рабочая неделя, рабочий день с 8.00 до 16.454 Доставка служебным транспортом; Льготное питание. ","Обучение новых пользователей работе в системе 1С:Документооборот, , , , , , , , ",1–3 года,Специалист по Электронному документообороту,,,,полный день,"Делопроизводство,Электронный документооборот,Документооборот,1С: Документооборот,Многозадачность,Автоматизация документооборота",Полная занятость,https://tyumen.hh.ru/vacancy/38102643,14
79,Магнитогорск,Магнитогорский металлургический комбинат,не указаны,29 сентября 2020," Специалист технической поддержки 1-линия (Service Desk) нужен в команду ПО «АТАЧ» - система электронного документооборота, для сопровождения системы на различных предприятиях на уровне РФ. Задачи: • Контроль, получение заявок от пользователей через систему Service Desk (SD) • консультирование пользователей; • Выявление проблем работоспособности системы, регистрация инцидентов и эскалация на следующий уровень поддержки, контроль за исполнением; • Решение заявок от пользователей - анализ, выявление и устранение ошибок, возникающих у пользователей в системе; • Коммуникация с пользователями с целью уточнения заявок; • Создание отчетов, по требованию; • Ведение базы знаний по проблемам и работе с новым функционалом системы. Требования: • Высшее техническое образование в области информационных технологий; • Коммуникативные навыки; • Внимательность, стрессоустойчивость, исполнительность, умение структурировать информацию; • Хорошее логическое мышление; • Желание помочь клиенту, понять в чем суть вопроса и найти решение. Мы предлагаем: • Оформление по ТК РФ; • График работы 5/2 (возможно удаленная работа); • Молодой, энергичный и профессиональный коллектив; • Поддержка кандидата в профессиональном и карьерном росте; • Полноценную проектную команду: менеджер проектов, разработчики, системный аналитик, тестировщик, технический писатель. З/п по итогам собеседования ",не указано,не требуется,Специалист технической поддержки,,42800.0,28540.0,полный день,"MS Outlook,MS Visio,Helpdesk,Электронный документооборот,MS Project",Полная занятость,https://tyumen.hh.ru/vacancy/39507093,30
87,Магнитогорск,BelkaCar,не указаны,14 октября 2020," Компания BelkaCar предоставляет услуги по поминутной и посуточной аренде автомобилей в Москве. Мы продолжаем расширять службу поддержки пользователей и снова открываем вакансию оператора на прием входящих звонков. Обязанности: прием входящих звонков от пользователей консультирование по условиям предоставления сервиса, решение проблем в аренде автомобиля прием обращений и передача информации в профильные отделы Требования: опытный пользователь ПК грамотная устная и письменная речь доброжелательность и клиентоориентированность желание развиваться в сфере обслуживания клиентов наличие компьютера, головной гарнитуры, стабильного интернета опыт работы в колл-центрах от 1 года Технические требования: Windows 7 или выше Стабильный интернет (Mbps не менее 10, PING не более 10) USB гарнитура Условия: работа на дому обучение, сопровождение супервизором в самом начале работы возможность карьерного роста прием звонков через IP-телефонию дружный коллектив График работы 2/2 12-ти часовой рабочий день по Московскому времени: 9:00-21:00, 12:00-00:00, 13:00-01:00, 14:00-02:00, 15:00-03:00, 19:00-07:00 ","прием входящих звонков от пользователей,консультирование по условиям предоставления сервиса, решение проблем в аренде автомобиля,прием обращений и передача информации в профильные отделы",1–3 года,Специалист службы поддержки пользователей,,40000.0,25500.0,удаленная работа,"Грамотная речь,Пользователь ПК,Грамотность,Ведение переговоров,Деловое общение,Работа в команде,Телефонные переговоры,Ориентация на результат,Работа с большим объемом информации,Internet",Полная занятость,https://tyumen.hh.ru/vacancy/39808832,15
