,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url,count_day
58,Челябинск,ЦентрПроф,"удаленная работа на дому, график 2/2 (дневные или ночные смены);,дистанционное оплачиваемое обучение;,официальное трудоустройство;,конкурентная заработная плата, возможность влиять на свой доход;,отличная команда руководителей и наставников;,возможность карьерного роста и развития.",7 октября 2020," Мы являемся официальными партнерами Яндекс.Такси. В поддержку каждый день пишут тысячи пользователей и водителей. Они задают вопросы, просят помочь, делятся идеями, как улучшить сервис. Мы ищем в большую и дружную команду человека, который станет поддерживать пользователей и водителей и помогать им. Вам предстоит: быстро отвечать на обращения; работать с пользователями, таксопарками и водителями; развивать процессы и инструменты, улучшающие качество Яндекс.Такси. Мы ждем, что вы: грамотная письменная и устная речь; умеете параллельно решать разноплановые задачи; способны работать в команде; способны принимать решения самостоятельно. Условия: удаленная работа на дому, график 2/2 (дневные или ночные смены); дистанционное оплачиваемое обучение; официальное трудоустройство; конкурентная заработная плата, возможность влиять на свой доход; отличная команда руководителей и наставников; возможность карьерного роста и развития. ",не указано,не требуется,Специалист службы поддержки (удаленно),,40000.0,22000.0,удаленная работа,"Английский — A1 — Начальный,Грамотная речь,Обучение и развитие,Грамотность",Полная занятость,https://tyumen.hh.ru/vacancy/39686045,22
59,Челябинск,Сатурн-2,не указаны,9 октября 2020," Обязанности: Консультация пользователей Корректировка документов Построение отчетов Изменение печатных форм Фиксирование задач и адресация на исполнителей Требования: Базовый опыт работы в 1С Условия: Оплата на испытательный срок от 30 000 руб. Обучение сотрудников как внутреннее, так и внешнее. График работы на испытательном сроке 5/2 . После прохождения обучения 2/2. Работа в среде профессионалов своего дела, способных передавать опыт, обучать новых сотрудников специфике работы и способных сотрудничать с компетентными специалистами. Дружный коллектив. Скидки сотрудникам на приобретение автомобилей и техническое обслуживание. Посещение бассейна и спортзала за счет компании – приятный бонус всем сотрудникам! Бесплатная парковка для сотрудников. ",не указано,не требуется,Специалист техподдержки / 1с программист( стажер),,39000.0,30000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/38805062,20
87,Магнитогорск,BelkaCar,не указаны,14 октября 2020," Компания BelkaCar предоставляет услуги по поминутной и посуточной аренде автомобилей в Москве. Мы продолжаем расширять службу поддержки пользователей и снова открываем вакансию оператора на прием входящих звонков. Обязанности: прием входящих звонков от пользователей консультирование по условиям предоставления сервиса, решение проблем в аренде автомобиля прием обращений и передача информации в профильные отделы Требования: опытный пользователь ПК грамотная устная и письменная речь доброжелательность и клиентоориентированность желание развиваться в сфере обслуживания клиентов наличие компьютера, головной гарнитуры, стабильного интернета опыт работы в колл-центрах от 1 года Технические требования: Windows 7 или выше Стабильный интернет (Mbps не менее 10, PING не более 10) USB гарнитура Условия: работа на дому обучение, сопровождение супервизором в самом начале работы возможность карьерного роста прием звонков через IP-телефонию дружный коллектив График работы 2/2 12-ти часовой рабочий день по Московскому времени: 9:00-21:00, 12:00-00:00, 13:00-01:00, 14:00-02:00, 15:00-03:00, 19:00-07:00 ","прием входящих звонков от пользователей,консультирование по условиям предоставления сервиса, решение проблем в аренде автомобиля,прием обращений и передача информации в профильные отделы",1–3 года,Специалист службы поддержки пользователей,,40000.0,25500.0,удаленная работа,"Грамотная речь,Пользователь ПК,Грамотность,Ведение переговоров,Деловое общение,Работа в команде,Телефонные переговоры,Ориентация на результат,Работа с большим объемом информации,Internet",Полная занятость,https://tyumen.hh.ru/vacancy/39808832,15
88,Копейск,Яндекс,не указаны,21 сентября 2020," Каждый день миллионы пользователей обращаются к сервисам Яндекса — находят ответы на вопросы, решают рабочие задачи, учатся, отдыхают. А когда что-то идёт не так, их выручает наша служба поддержки. Помощь может потребоваться в самых разных ситуациях. Поэтому мы ищем внимательных, тактичных и любознательных специалистов — людей с чувством юмора, знакомых с языками программирования и разметки. Что вы будете делать: отвечать на сообщения пользователей по почте и в чатах; консультировать их по разным вопросам, связанным с Яндексом; передавать информацию разработчикам и менеджерам, помогая улучшать наши сервисы; иногда решать новые интересные задачи — ведь мы постоянно растём и меняемся! Мы ждём, что вы: грамотно пишете по-русски; умеете чётко и структурированно излагать мысли; легко находите главную информацию в текстах разного объёма; владеете языками JavaScript, HTML и Python на начальном или среднем уровне; имеете высшее или неоконченное высшее образование (техническое будет дополнительным плюсом); имеете опыт успешной поддержки и помощи людям онлайн; умеете работать самостоятельно и в команде; готовы к работе в установленном графике с определённой длиной смены; ответственны и способны к самоорганизации; готовы учиться; умеете работать с большим объёмом информации; не устаёте от однообразных задач; стрессоустойчивы. Что мы предлагаем: работу из дома; оформление совместительства; частичную занятость — 20 рабочих часов в неделю; гибкий график: 5-дневная рабочая неделя, 4 рабочих часа в день, плавающие выходные. Начало смен обсуждается индивидуально; сдельную оплату. Среднее вознаграждение специалистов, занимающих схожие должности, — от 30 тысяч рублей в месяц после обучения и при 40-часовой рабочей неделе; удалённое оплачиваемое обучение. Вакансия открыта в рамках проекта по интеграции людей с инвалидностью в общественную жизнь и в целях соблюдения требований ст.21 Федерального закона ""О социальной защите инвалидов"". ",не указано,1–3 года,"Специалист службы поддержки со знанием JS, HTML, Python",,,30000.0,сменный график,,Частичная занятость,https://tyumen.hh.ru/vacancy/39342654,38
107,Магнитогорск,Яндекс,не указаны,21 сентября 2020," Каждый день миллионы пользователей обращаются к сервисам Яндекса — находят ответы на вопросы, решают рабочие задачи, учатся, отдыхают. А когда что-то идёт не так, их выручает наша служба поддержки. Помощь может потребоваться в самых разных ситуациях. Поэтому мы ищем внимательных, тактичных и любознательных специалистов — людей с чувством юмора, знакомых с языками программирования и разметки. Что вы будете делать: отвечать на сообщения пользователей по почте и в чатах; консультировать их по разным вопросам, связанным с Яндексом; передавать информацию разработчикам и менеджерам, помогая улучшать наши сервисы; иногда решать новые интересные задачи — ведь мы постоянно растём и меняемся! Мы ждём, что вы: грамотно пишете по-русски; умеете чётко и структурированно излагать мысли; легко находите главную информацию в текстах разного объёма; владеете языками JavaScript, HTML и Python на начальном или среднем уровне; имеете высшее или неоконченное высшее образование (техническое будет дополнительным плюсом); имеете опыт успешной поддержки и помощи людям онлайн; умеете работать самостоятельно и в команде; готовы к работе в установленном графике с определённой длиной смены; ответственны и способны к самоорганизации; готовы учиться; умеете работать с большим объёмом информации; не устаёте от однообразных задач; стрессоустойчивы. Что мы предлагаем: работу из дома; оформление совместительства; частичную занятость — 20 рабочих часов в неделю; гибкий график: 5-дневная рабочая неделя, 4 рабочих часа в день, плавающие выходные. Начало смен обсуждается индивидуально; сдельную оплату. Среднее вознаграждение специалистов, занимающих схожие должности, — от 30 тысяч рублей в месяц после обучения и при 40-часовой рабочей неделе; удалённое оплачиваемое обучение. Вакансия открыта в рамках проекта по интеграции людей с инвалидностью в общественную жизнь и в целях соблюдения требований ст.21 Федерального закона ""О социальной защите инвалидов"". ",не указано,1–3 года,"Специалист службы поддержки со знанием JS, HTML, Python",,40000.0,30000.0,сменный график,,Частичная занятость,https://tyumen.hh.ru/vacancy/39343433,38
153,Копейск,Яндекс,не указаны,6 октября 2020," Каждый день миллионы пользователей находят ответы на свои вопросы с помощью Яндекса. Роль службы поддержки — помогать пользователям решать проблемы, связанные с работой наших сервисов. Работа сотрудника службы поддержки заключается в основном в ответах на письма пользователей. От вас потребуются внимательность, тактичность, чувство юмора, понимание основных принципов работы интернета, любознательность и трудолюбие. Мы расскажем вам, как устроены наши сервисы, и научим разбираться в технических аспектах их работы. Со временем вы начнете самостоятельно анализировать поступающие письма и сможете активно участвовать в развитии сервиса, к поддержке которого подключитесь. Наши требования: отличное владение русским языком; способность самостоятельно решать круг поставленных задач; аккуратность, усидчивость, ответственность и обязательность; готовность к интенсивному обучению; аналитический склад ума; активность и коммуникабельность; любовь к людям, способность к эмпатии; высшее или незаконченное высшее образование (если техническое — это плюс); желательно знание английского, уровень Upper Intermediate и выше. Условия: оплата почасовая или сдельная, в зависимости от выполняемых задач; график: по договоренности, рабочие дни могут выпадать на субботу и воскресенье, не менее 20 рабочих часов в неделю; предусмотрено оплачиваемое дистанционное обучение. ",не указано,1–3 года,Специалист службы поддержки пользователей,,,30000.0,удаленная работа,"Английский язык,MS PowerPoint,Грамотная речь,Обучение и развитие,Грамотность",Частичная занятость,https://tyumen.hh.ru/vacancy/39646034,23
160,Златоуст,Яндекс,не указаны,21 сентября 2020," Каждый день миллионы пользователей обращаются к сервисам Яндекса — находят ответы на вопросы, решают рабочие задачи, учатся, отдыхают. А когда что-то идёт не так, их выручает наша служба поддержки. Помощь может потребоваться в самых разных ситуациях. Поэтому мы ищем внимательных, тактичных и любознательных специалистов — людей с чувством юмора, знакомых с языками программирования и разметки. Что вы будете делать: отвечать на сообщения пользователей по почте и в чатах; консультировать их по разным вопросам, связанным с Яндексом; передавать информацию разработчикам и менеджерам, помогая улучшать наши сервисы; иногда решать новые интересные задачи — ведь мы постоянно растём и меняемся! Мы ждём, что вы: грамотно пишете по-русски; умеете чётко и структурированно излагать мысли; легко находите главную информацию в текстах разного объёма; владеете языками JavaScript, HTML и Python на начальном или среднем уровне; имеете высшее или неоконченное высшее образование (техническое будет дополнительным плюсом); имеете опыт успешной поддержки и помощи людям онлайн; умеете работать самостоятельно и в команде; готовы к работе в установленном графике с определённой длиной смены; ответственны и способны к самоорганизации; готовы учиться; умеете работать с большим объёмом информации; не устаёте от однообразных задач; стрессоустойчивы. Что мы предлагаем: работу из дома; оформление совместительства; частичную занятость — 20 рабочих часов в неделю; гибкий график: 5-дневная рабочая неделя, 4 рабочих часа в день, плавающие выходные. Начало смен обсуждается индивидуально; сдельную оплату. Среднее вознаграждение специалистов, занимающих схожие должности, — от 30 тысяч рублей в месяц после обучения и при 40-часовой рабочей неделе; удалённое оплачиваемое обучение. Вакансия открыта в рамках проекта по интеграции людей с инвалидностью в общественную жизнь и в целях соблюдения требований ст.21 Федерального закона ""О социальной защите инвалидов"". ",не указано,1–3 года,"Специалист службы поддержки со знанием JS, HTML, Python",,,30000.0,сменный график,,Частичная занятость,https://tyumen.hh.ru/vacancy/39342646,38
273,Магнитогорск,Яндекс,не указаны,10 октября 2020," Каждый день миллионы пользователей находят ответы на свои вопросы с помощью Яндекса. Роль службы поддержки — помогать пользователям решать проблемы, связанные с работой наших сервисов. Работа сотрудника службы поддержки заключается в основном в ответах на письма пользователей. От вас потребуются внимательность, тактичность, чувство юмора, понимание основных принципов работы интернета, любознательность и трудолюбие. Мы расскажем вам, как устроены наши сервисы, и научим разбираться в технических аспектах их работы. Со временем вы начнете самостоятельно анализировать поступающие письма и сможете активно участвовать в развитии сервиса, к поддержке которого подключитесь. Наши требования: отличное владение русским языком; способность самостоятельно решать круг поставленных задач; аккуратность, усидчивость, ответственность и обязательность; готовность к интенсивному обучению; аналитический склад ума; активность и коммуникабельность; любовь к людям, способность к эмпатии; высшее или незаконченное высшее образование (если техническое — это плюс); желательно знание английского, уровень Upper Intermediate и выше. Условия: оплата почасовая или сдельная, в зависимости от выполняемых задач; график: по договоренности, рабочие дни могут выпадать на субботу и воскресенье, не менее 20 рабочих часов в неделю; предусмотрено оплачиваемое дистанционное обучение. ",не указано,1–3 года,Специалист службы поддержки пользователей,,40000.0,27750.0,удаленная работа,"Грамотность,Высокая скорость печати,Работа с большим объемом информации,Работа в команде",Частичная занятость,https://tyumen.hh.ru/vacancy/38330177,19
377,Челябинск,ITL,не указаны,22 сентября 2020," Системный администратор / Инженер техподдержки ""Информационно-техническая лаборатория"" - федеральная компания TOП-10 сервисных IT-компаний в РФ (центральный офис в Н.Новгороде, филиал в Москве) в сфере обслуживания ИТ-инфраструктуры (сервера, компьютеры, оргтехника, телефония, сети) для территориально-распределенных компаний по РФ 17+ лет на рынке; 150+ сотрудников; 70+ регионов РФ; 6000+ магазинов по РФ Обслуживаем POS-оборудование, кассы, оргтехнику, АРМ, видео, сервера, телефонию и др. крупных федеральных компаний: ""Пятёрочка"", ""Бристоль"", ""Срочноденьги"", ""Максавит"", ""Миг Кредит"" и другие. Чем предстоит заниматься ? Выезжать на точки крупной торговой сети (в среднем до 3—5 выездов в день) Ремонтировать ПК, настройка локальных сетей. Ремонтировать ККТ, ККМ, настраивать торговое оборудование (предоставляется обучение); Мы предлагаем: Гарантированный оклад + бонусы. Компенсация моб.связи. и ГСМ. Готовы рассматривать кандидатов с небольшим опытом и предоставляем обучение от опытных наставников Возможна работа на совмещение. Наши ожидания: Опыт работы системным администратором и/или в сфере ремонта техники от 6 мес. (либо подходящее образование и готовность обучиться) Будет преимуществом: Опыт работы с торговым оборудованием ",не указано,1–3 года,Системный администратор / Инженер техподдержки,,35000.0,28000.0,полный день,"Ремонт ПК,Настройка ПК,Настройка сетевых подключений,Настройка ПО,Администрирование серверов Windows",Полная занятость,https://tyumen.hh.ru/vacancy/38864156,37
444,Миасс,Яндекс,не указаны,6 октября 2020," Каждый день миллионы пользователей находят ответы на свои вопросы с помощью Яндекса. Роль службы поддержки — помогать пользователям решать проблемы, связанные с работой наших сервисов. Работа сотрудника службы поддержки заключается в основном в ответах на письма пользователей. От вас потребуются внимательность, тактичность, чувство юмора, понимание основных принципов работы интернета, любознательность и трудолюбие. Мы расскажем вам, как устроены наши сервисы, и научим разбираться в технических аспектах их работы. Со временем вы начнете самостоятельно анализировать поступающие письма и сможете активно участвовать в развитии сервиса, к поддержке которого подключитесь. Наши требования: отличное владение русским языком; способность самостоятельно решать круг поставленных задач; аккуратность, усидчивость, ответственность и обязательность; готовность к интенсивному обучению; аналитический склад ума; активность и коммуникабельность; любовь к людям, способность к эмпатии; высшее или незаконченное высшее образование (если техническое — это плюс); желательно знание английского, уровень Upper Intermediate и выше. Условия: оплата почасовая или сдельная, в зависимости от выполняемых задач; график: по договоренности, рабочие дни могут выпадать на субботу и воскресенье, не менее 20 рабочих часов в неделю; предусмотрено оплачиваемое дистанционное обучение. ",не указано,1–3 года,Специалист службы поддержки пользователей,,,30000.0,удаленная работа,"Английский язык,MS PowerPoint,Грамотная речь,Обучение и развитие,Грамотность",Частичная занятость,https://tyumen.hh.ru/vacancy/39647157,23
